Unnamed: 0,uncivil,civil,is_toxic,normalized_length_change,length_diff,change_direction
18,"I have tried all HLS streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about smoothness with the content like this.  But max resolution I’ve seen was 1920x1080, I don’t have issues with this resolution, it only appear on 4K streams (in my case).  4K 60fps DASH was pretty smooth with speeds up to 1.5x (2x is ugly).  Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.","I've tested all HLS streams in the demo app with speeds up to 2x (when possible, Apple master streams cannot change speed). The playback is smooth, if we can talk about smoothness with the content like this. However, the max resolution I've seen was 1920x1080, and I don't have any issues with this resolution. It only appears on 4K streams (in my case). 4K 60fps DASH was quite smooth with speeds up to 1.5x (2x is not aesthetically pleasing). Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.",0,-9.401709401709402,-44,increase
19,Thanks for your reply. After some digging I found that the real issue is with the special `home` property: my environment has a `%HOME%` variable that screws things up.  Sorry for opening this issue,"Thank you for your response. After some digging, I realized that the real issue is with the special ""home"" property: My environment has a ""%HOME%"" variable that can cause issues. I apologize for opening this issue.",0,-8.080808080808081,-16,increase
20,"Forcing clients to re-parse text returned by utility that parses text is weird. Can we have nested nodes that provide variable name separately?  We rely on this functionality in Chrome DevTools buildchain, and due to this issue we cannot use newer versions of Closure Compiler.","Forcing clients to re-parse text returned by a utility that parses text is unusual. Can we have nested nodes that provide variable names separately? We rely on this functionality in the Chrome DevTools buildchain, and due to this issue, we can't use newer versions of Closure Compiler.",0,-2.888086642599278,-8,increase
21,"Holy mother your FCM messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking battery/background configuration on your device. This is super odd but sadly not something we can control.  ![image](https://user-images.githubusercontent.com/66265416/179264816-26e82049-f7f5-4587-80a3-163d929e0564.png)","Your FCM messages for Signal are experiencing significant delays, averaging between 5 and 6 hours. I recommend checking the battery/background configuration on your device. Although this may seem unconventional, it's not something we can effectively control.",0,21.100917431192663,69,decrease
22,e name of the service. Which was youtube in this case.  So in order to know what time of kiosk you are seeing id like to leave a header. Although its true the current header is ugly.,"It's important to remember the name of the service, which in this case was YouTube. To determine the time of kiosk, let's consider the current header, which is not aesthetically pleasing.",0,-2.7472527472527473,-5,increase
23,Has anyone figured out how to get around this?,Could you walk me through the thought process behind this?,0,-26.08695652173913,-12,increase
24,"Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all crazy, or we've come to a generic solution and most users are familiar with the style. Tally ho","Your standard video game key assignment screen, doesn't it? It seems like everyone else's solution, which means either we're all out of control or we've come up with a generic solution that most users are familiar with. Let's discuss how we can improve it.",0,-13.777777777777779,-31,increase
25,"Thanks! Could i ask you to sign our CLA if you haven't set? See http I know that kinda sucks, but we have to keep things in order.","Thank you! If you haven't set the CLA yet, would it be possible to request your signature? Please refer to http. I understand that this is not ideal, but we must maintain order.",0,-36.15384615384615,-47,increase
26,">  >  > > no-one from Signal noticed >  > @user closed #11114... and that's it 😑 >  > Come on, this is so annoying, and clearly _easy to fix_ if workarounds from #10929 make it work (I tried, and they do. I had to teach my mom how to do it 😑)  I don't get what these guys are doing. This shows that they are reading these bugs and yet no-one has had the courtesy to even acknowledge the problem listed here and in multiple related reports, let alone to give any indication of when the (most likely trivial) wor","I'm having trouble understanding the behavior of these individuals. While it appears that they are reading these bugs, it's important to acknowledge the problem and the multiple related reports, let alone provide an indication of when the issue is likely to become trivial. Let's ensure we address it appropriately.",0,38.23529411764706,195,decrease
27,"@user Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it. I'd rather add another option ""Send picture (uncompressed)"" to the attachment menu. But also on the receiver side I would not want my app to autmatically download uncompressed images and waste my limited data plan.  @user Currently pictures with text in it are n","@user Manual resizing of images before sending them is one of the most cumbersome aspects in a mobile messenger app. It requires twice the amount of time in a specific point-to-point, shoot and send situation. Additionally, common users don't even have a clue how to do it. I would prefer adding another option, ""Send picture (uncompressed) "", to the attachment menu. However, on the receiver side, I would also prefer not to have my app automatically download uncompressed images and waste my limited data plan. @user Currently, there are only a handful of images with text in it.",0,-13.92156862745098,-71,increase
28,me in a platform independent way ( I am using it for loading avatar images inside a game),I use it for loading avatar images within a game. It's important to consider the platform's capabilities and approach.,0,-32.58426966292135,-29,increase
29,That stories crap is one of the main reasons i migrated from YouTube don't make me go back to YouTube and speak for yourself when assuming everybody wants this feature,The lack of stories is one of the main reasons I migrated from YouTube. It would be beneficial to avoid relying on other platforms to provide input and support.,0,4.191616766467066,7,decrease
30,"FWIW, I tried it on Windows and both work, but it definitely makes sense to go with what Microsoft says is right for their OS.","FWIW, I've tried it on Windows, and both work, but it definitely makes sense to go with what Microsoft claims is suitable for their operating system.",0,-18.253968253968253,-23,increase
31,Every day of my life is a vacation.,Every day of my life is a vacation.,0,0.0,0,no change
32,"Nevermind, it was a reverse proxy issue.",It's important to address the reverse proxy issue. Let's address it.,0,-70.0,-28,increase
33,"Sorry about that. I couldnt figure out why it was compiling on my machine & giving ok build but not on git. I got it correct in the last commit  On Fri, Nov 2, 2018, 1:10 AM Manfred Karrer <notifications@github.com wrote:  > Man, you produce commits like hell.... Whats going on? > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/bisq-network/bisq/pull/1856#issuecomment-435272806>, > or mute the thread > <https://github.co","I apologize for that mistake. I couldn't figure out why it was compiling on my machine and yielding ok build but not on Git. I corrected it in the last commit On Friday, November 2, 2018, at 1:10 AM Manfred Karrer <notifications@github.com> wrote: > Man, you produce commits like hell.... What's happening here? > >  > You're receiving this because you authored the thread. > Please reply to this email directly by viewing it on GitHub > <https://github.com/bisq-network/bisq/pull/1856#issuecomment-435272806>, > or mute the thread > <https://github.co.uk>",0,-9.019607843137255,-46,increase
34,"+1, it's annoying",+1 is a bit frustrating.,0,-41.17647058823529,-7,increase
35,"numbers cannot be mapped to a double datatype using match_mapping_type.  That part probably needs clarification though I'm not sure how to do it. Basically, the json parser assumes the wider datatype that is not a BigDecimal/BigInteger. So floating-point numbers will be detected as a `double` rather than a `float` and integers will be detected as a `long` rather than an `integer`. You can dynamically map floating-point numbers to doubles by using `double` as a `match_mapping_type` and `double` as a type i","It's impossible to map numbers to a double datatype using match_mapping_type. Although clarification is still necessary, it's important to clarify how to do this. The JSON parser assumes a wider datatype other than a BigDecimal/BigInteger. This way, floating-point numbers will be detected as a double instead of a float, and integers will be detected as a long instead of an integer. You can dynamically map floating-point numbers to doubles by using double as a match_mapping_type and double as a type i.",0,0.7843137254901961,4,decrease
36," as deliberate DOS and opportunisitc eavesdropping by anyone who can spoof email addresses.  Authors of the standard say its security depends on a working spam filter - does that sound like strong security? Wild guess.. pretty soon spammers will start inserting fake autocrypt headers to improve ham/spam score of their messages.   Good that you mention Snowden - he used OpenPGP to deliver his findings to journalists and apparently it worked, without autocrypt. And it is a nice reading how he did it. Good s","It seems that this approach is not ideal, as it involves deliberate DOS and opportunisitc surveillance by individuals who can spoof email addresses. According to the standard's authors, its security depends on a working spam filter. Does that sound like strong security? It's a strange conjecture. Soon, spammers will start inserting fake autocrypt headers to improve the spam scores of their messages. It's good to mention Snowden, who used OpenPGP to deliver his findings to journalists, and apparently, it worked without autocrypt. It's a great read on how he did it.",0,-11.76470588235294,-60,increase
37,"I've noted that when you get the message that you have attempted to register too many times, the system usually ""resets"" and lets you try after an hour or so. I am still plagued with the ""Unable to Connect to service despite updating Google play, installing, backing up, checking the backup location, adding the ""real"" backup to that location, uninstalling, reinstalling, rebooting, rechecking all permissions, rebooting again and trying to restore....   If you get all that then you know where I have been....","I've noticed that when you receive the message that you've attempted to register multiple times, the system usually ""resets"" and allows you to try after an hour or so. I'm still plagued by the ""Unable to Connect to Service"" issue despite updating Google play, installing, backing up, checking the backup location, adding the ""real"" backup to that location, uninstalling, reinstalling, rebooting, rechecking all permissions, rebooting, and attempting to restore. If you've encountered all that, you know where I've been.",0,-1.7647058823529411,-9,increase
38,Rearly. I've encountered some other problems related to audio playing. The only auido player that works for me so far is VLC. So I think (as in most cases) It's just that damn android again.,"It's a bit unfortunate. I've encountered some other problems related to audio playback. The only auido player that works for me so far is VLC. So, I think (as in most cases) it's just that Android again.",0,-6.842105263157896,-13,increase
39,without issues.,It's important to address any issues without resorting to unnecessary language.,0,-426.6666666666667,-64,increase
40,Err:508,This code snippet is not valid. It is a valid set of values that can be used to create a valid code. It is a valid set of values that can be used to create a valid code.,0,-2314.285714285714,-162,increase
41," [<none> -> pulsar://localhost:6650] Failed to establish connection: Connection refused  even the simple one gives the same error:  consumer = client.subscribe('my-topic', 'my-subscription')  so this is not related to 'topic' path/name.  It crashes at this line inside:     c._consumer = self._client.subscribe(topic, subscription_name, conf) no way to debug this further inside.  I believe 'conf' is wrong, do I need to install some C/C++ library before running this ?  Gurgen","[<none> -> pulsar://localhost:6650] Couldn't establish a connection. The connection refused. Even the simplest one, which results in the same error: consumer = client.subscribe('my-topic','my-subscription')), doesn't relate to 'topic' path/name. It crashes at this line inside: c._consumer = self._client.subs(topic, subscription_name, conf) There's no way to further debute this inside. I believe 'conf' is incorrect. Do I need to install some C/C++ library before running this? Gurgen",0,-1.8867924528301887,-9,increase
42," where the temporary directory will now be `elasticsearch.XXXXXXX.<eight random characters>`. That's ugly, and macOS is so popular a development platform I would not want to do that.  Given a workaround exists, and we don't want to take on code for unsupported platforms, I am going to close this pull request.","The temporary directory will now be marked as ]]elasticsearch.XXXXX.<eight random characters>. That's not aesthetically pleasing, and macOS is a popular development platform. Given the current workaround and the limitation on code handling for unsupported platforms, I will close this pull request.",0,3.870967741935484,12,decrease
43,"I am able to reproduce this now:  1. user sends a message to your group: you will hear the group sound (as expected) 2. user sends a message directly to you: you will hear the user's sound (as expected) 3. user sends a message to your group: **you will hear the user's sound** (this is abomination)  Signal 4.33.5, Android Pie","I'm now able to reproduce the following: 1) user sends a message to your group stating that you will hear the group sound (as expected); 2) user sends a message directly to you stating that you will hear the user's sound (as expected); 3) user sends a message to your group stating that you will hear the user's sound (as seen through); 3) user sends a message to your group stating that you will hear the user's sound (as seen through the app) Signal 4.33.5, Android Pie",0,-44.47852760736196,-145,increase
44,Damn - I still see this issue in Android 5.1.1,"Oh no, I still see this issue in Android 5.1.1",0,0.0,0,no change
45," some usage impediment. Are you sure you want them to not have a chance to understand what they're doing at least at the level at which a decent threat model wizard could explain it?)  It doesn't even have to be a startup wizard - you can keep just the ""revolution vs. casual texing"" question at the startup and put the threat model wizard right in the Settings menu - so the Security section of the Settings menu wouldn't just show you all the detailed options directly but ask you first if you know what you'","There might be an usage impediment. Are you sure you want them to have a comprehensive understanding of their actions, at least at the level where a proper threat model wizard can provide an explanation? It's not necessary to have a startup wizard as the sole guardian. Instead, let's keep the question ""revolution versus casual texting"" at the startup and place the threat model wizard directly in the Settings menu. This way, the Security section of the Settings menu will not only show you the detailed options directly but also ask you if you already know what you're thinking.",0,-13.92156862745098,-71,increase
46,"Thanks for the detailed bug report!!! You can send me the log file (manfred at bitsquare dot io) together with trade ID and txIds.  It looks that the dispute payout tx was not successful and need to be redone manually. No worry no fund ever lost. I would recommend after we have resolved that to start over with a new app and new data directory, seems there are some database files screwed up. You can export your payment accounts and re-import them. See http","Thank you for the detailed bug report! You can send me the log file (manfred at bitsquare dot io) along with trade ID and txIds. It appears that the dispute payout tx was not successful and needs to be manually refactored. Don't worry, no funds were ever lost. I would recommend resolving the issue once we have resolved that starting over with a new app and new data directory could lead to issues with database files. You can export your payment accounts and re-import them. Please refer to the link below.",0,-10.675381263616558,-49,increase
47,"@user I have not tested the issue with Linux, but you can try a few other things: - increase window size, - add more arrays & allocations, - decrease allocation size (curiously, a 10 times larger array than what's in the example works fine).  If you have a modern machine, it might be able to handle a lot more & faster than mine. Generally try doing something time consuming after `size()`. Another example:  ``` java void setup() {   size(600, 600);   // fix: ellipse(100, 100, 50, 50);   loadPixels();   upd","@user I haven't tested the issue with Linux, but you can consider a few other approaches: increase the window size, add more arrays and allocations, and reduce the allocation size. A larger array 10 times larger than the example works fine. If you have a modern machine, it might handle much faster and more efficient. Generally, we should consider time-consuming tasks after size() `. Another example: java void setup() {(600, 600); // size fix: ellipse(100, 100, 50, 50); loadPixels(); upd",0,3.7254901960784315,19,decrease
48,I suppose YouTube changed something in its page layout.,I understand that you have made some changes to the page layout. Let's ensure we make the necessary changes.,0,-96.36363636363636,-53,increase
49,It isn't supposed to.,It's not supposed to be the case. Let's focus on finding a solution.,0,-223.80952380952382,-47,increase
50,"FWIW, I've been testing my app on Genymotion, Galaxy Nexus and S4 today and haven't seen the bug at all. They're all 4.x devices though.","FWIW, I was testing my app on Genymotion, Galaxy Nexus, and S4 today, but I didn't notice the bug. Although they're all 4.x devices, it's important to address the issue at hand.",0,-30.14705882352941,-41,increase
51,I end up with multiple slots on my shiny server and have to add the same people every time. With this many people it is getting incredibly inconvenient.,"I find it increasingly inconvenient to have multiple slots on my shiny server, causing me to constantly add the same people.",0,18.421052631578945,28,decrease
52,What a shame :(,What a shame! :(,0,-6.666666666666667,-1,increase
53,"oh man, jar hell? I guess you should enable jarhell checks in your app. I will use this as an example for everybody complaining in the future.","Oh man, what a mess! I suppose you should enable jarhell checks in your app. I'll use this as an example for future complaints.",0,10.56338028169014,15,decrease
54,"I think we're at the mercy of gstreamer here, it's not something we can fix.","streamer seems to be at the mercy of this situation, and we cannot address it effectively.",0,-18.421052631578945,-14,increase
55,holy f*ck  this issues opened on 21 Dec 2015 and no import from csv to database ( (3 years gone),"Oops, this issue opened on Dec 21, 2015 and no import from csv to the database occurred. It's been 3 years now.",0,-15.625,-15,increase
56," there is no real need for Test scope in 99% of the cases so in upcoming version this might be the way to go. For instance all our REST tests run against such a cluster, they are way more reliable than all other tests.","In 99% of cases, the Test scope is not required, so in the upcoming version, this approach might be the appropriate approach. For example, all our REST tests run against such a cluster, resulting in significantly more reliable results compared to all other tests.",0,-20.642201834862387,-45,increase
57,I just tested the same thing on `demo.thingsboard.io` and can not reproduce the problem. A diff between v2.5.2 and develop/3.1 shows no changes to anything CoAP related. Wtf?,"I recently tested the same issue on demo.thingsboard.io, and I can't reproduce the problem. A distinction between v2.5.2 and develop/3.1 shows no changes to anything related to CoAP. What's the reasoning behind this?",0,-24.137931034482758,-42,increase
58,-1 to enable by default. That's horrible!,Let's consider enabling by default with a -1 value. That's quite a mistake!,0,-82.92682926829268,-34,increase
59,Using sleep not the best solution whenever in my cases it won't work 100% in all cases. I have tried out lots of different workaround and no one worked for me well. That is real pain in the ass as we heavily use this component.,"Using sleep as the best solution is not always ideal, even though in my cases it won't work 100% in all cases. I've tried a number of different workarounds, but none have worked well for me. It's frustrating considering the heavy use of this component.",0,-11.013215859030836,-25,increase
60,"sorry to paraphrase what you said; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards, which is pointless and we should prevent this?  a naive/ugly approach would be to check that the primary's response version is the requested version and therefore that a change happened, erm I'll look into it now.","I apologize for paraphrasing your statement. Since no exception is introduced in this operation on the primary shard, it will be repeated on the replica shards, which is unnecessary and should be prevented. A naive/ugly approach would be to verify that the primary's response version is the requested version and, consequently, that a change has occurred. I will investigate it now.",0,-7.303370786516854,-26,increase
61,"rd Indicator and it's features (i.a. full text search), so I didn't bother testing other clipboard managers.  But if I can test something specifically to help resolve this issue, let me know!","Rd Indicator is available, and it's features include full-text search. So, I made the effort to test other clipboard managers without any inconvenience. However, if I can provide specific testing to help resolve this issue, please let me know!",0,-27.225130890052355,-52,increase
62,Looks like you're ready to open a PR!,Your input is valuable. Let's collaborate on addressing this issue.,0,-81.08108108108108,-30,increase
63,"stalled. - `craptube-name.jar`: The extension name is different from the service name, so it should fail after having accepted installation. - `craptube.jar`: It now has even more `CRAP`.  Please keep this version installed and add subscriptions and remote playlists from various services. When I post the next version, it will have a different DB scheme, so the migration for that should be tested.","The extension name is different from the service name, so it should fail after accepting the installation. However, it now has even more CRAP. Please keep this version installed and adding subscriptions and remote playlists from various services. When I post the next version, it will have a different DB scheme, so the migration for that should be tested.",0,10.776942355889723,43,decrease
64,"my hardware to bigger numbers but i don't need it.  After 24h, when some of the documents with the same ID comes in, the performance drops miserably to 500 documents per second, even less, then the CPU skyrockets and iowait sucks most of my resources. I tried changing the batch size, the threads, but no solution found.  I wanted to underline that you don't need duplicate documents in the same bulk request to trigger this ugly performance issue. You just need to update a few existing documents per request ","I've made significant efforts to migrate my hardware to larger numbers, but I don't require it. After 24 hours, when documents with the same ID arrive, performance drops to 500 documents per second, or even less. As a result, the CPU skyrockets and Iowa State takes up most of my resources. I attempted to change the batch size and threads, but no solution was found. I wanted to emphasize that duplicate documents in the same bulk request are not necessary to trigger this performance issue. It would be beneficial to update a few existing documents per request instead of resorting to duplicate.",0,-17.058823529411764,-87,increase
65,"where?  This is the best I could find...   * no official helpdocs for endusers whatsoever == http  * github-based quasi-official helpdocs give no detailed instructions whatsoever == http  * 2017 tacitly-official comment by moxie0 says to try googling(tm) to learn how == http   * 2018 unofficial-comment with SOMEWHAT detailed instructions == http  (""open a command prompt"" is not really aimed at the everyday enduser from the whatsapp crowd however!)  * 2014 unofficial-commentTwo with significantly different","Where is this? This is the best I could find. There are no official helpdocs for endusers. GitHub-based quasi-official helpdocs provide no detailed instructions. Tacitly, Moxie0 commented that trying to googgle(tm) with some unofficial comments and detailed instructions would help users understand how to open a command prompt. However, the unofficial comment from 2014 differs significantly from the others.",0,19.80392156862745,101,decrease
66,githubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png) ...Then I ractivated the realtime protection. And it's allright. Damn Windows !,"Hubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png)...Then I disabled the real-time protection. It's fine, and it's fine. Windows is frustrating!",0,-6.875000000000001,-11,increase
67,uments in a log-like file for ECS.  Hope this rambling make sense. Thank you for the valuable input!,The log-like file contains unwanted elements for ECS. I hope this rambling makes sense. Thank you for your valuable input!,0,-22.0,-22,increase
68,I'm afraid I didn't understand your comment.,I apologize for any misunderstanding caused.,0,0.0,0,no change
69,Closing.  The PR contains changes from multiple branches...I hate Git.,I'm closing. The PR contains changes from multiple branches. I'm not a fan of Git.,0,-17.142857142857142,-12,increase
70,"t behavior from ""hey everyone that person you have stored in your addressbook for some possibly creepy reason is now on Signal! Creep them out!"" to that stalker having to [look up on WikiHow](https://www.wikihow.com/Know-if-a-Contact-Is-Using-Signal) a way to spy.  I cannot find a single open one that speaks to this at all, though i do understand that ending the functional directory of Signal users is a goal: http (though that's so focused on the technical, hiding stuff from your own phone, that i'm still","From the behavior of individuals who might have been accused of spying on the functional directory of Signal users, to the behavior of individuals who might have had to investigate the situation on WikiHow. Although I understand that terminating the functional directory of Signal users is a goal, I'm still unable to find an open one that addresses this issue.",0,29.215686274509807,149,decrease
71,I don't think we're ever going to get more info.,We're working towards a resolution that aligns with our goals.,0,-29.166666666666668,-14,increase
72,"Damn paper trail. Sometimes, when I'm alone in the dark, I like to break all the things.","It's frustrating that sometimes, when I'm alone in the dark, I tend to break things.",0,4.545454545454546,4,decrease
73,"tty common nowadays). Imho, it would be nice to have a Bresenham implementation which yields the bottom results.","It's not common practice these days. However, it would be beneficial to have a Bresenham implementation that yields the best results.",0,-18.75,-21,increase
74,relevant reading material:  http http  looks like there is a fix but pretty ugly,"Relevant reading material: http http seems like a fix, but it's not the most elegant solution.",0,-17.5,-14,increase
75,the less maven the better,"The less maven, the better.",0,-8.0,-2,increase
