uncivil,civil,is_toxic,normalized_length_change,length_diff,change_direction
Let's celebrate yet another unsuccessful release.,let ' s celebrate yet another commercially unsuccessful release .,0,-32.6530612244898,-16,increase
st stated is reflected in the trade statistics (that an offer is taken and becomes a trade). That is what I meant with objective value.,st stated is reflected in the trade statistics ( that an offer is taken and becomes a trade ) . that is what i meant with objective value .,0,-2.9629629629629632,-4,increase
 the users. This was no different to first TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-deniability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-deniability)) or first Tor exit node hosts.   > Only people who actually DO have something to hide install TS.  What about [CyanogenMod integration](https://whispersystems.org/blog/cyanogen-integration/)?  > What happens when TS becomes popular in a region?  Media/activists become aware of this feature and advise ,the users . this was no different to first tuecrypt users ( [ otr ] ( https : / / whispersystems . org / blog / simplifying - otr - deniability / ) vs . [ plausible deniability ] ( http : / / www . truecrypt . org / doc / plausible - deniability ) ) or first tor exit node hosts . > only people who actually do have something to hide install ts . what about [ cyanogenmod integration ] ( https : / / whispersystems . org / blog / cyanogen - integration / ) ? > what happens when ts becomes popular in a region ? media / activists become aware of this feature and advise,0,-11.568627450980392,-59,increase
static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) {         if ((!inet6Address.isSiteLocalAddress() && !inet6Address.isLinkLocalAddress())                 || inet6Address.getScopeId() > 0 || inet6Address.getScopedInterface() != null) {             return Collections.singleton(inet6Address),static collection < inet6address > getpossibleinetaddressesfor ( final inet6address inet6address ) { if ( ( ! inet6address . issitelocaladdress ( ) & & ! inet6address . islinklocaladdress ( ) ) | | inet6address . getscopeid ( ) > 0 | | inet6address . getscopedinterface ( ) ! = null ) { return collections . singleton ( inet6address ),0,-0.3003003003003003,-1,increase
"Open a new ticket with your code and the error, then.","open a new ticket with your code and the error , then .",0,-3.7735849056603774,-2,increase
      }          } ```,      }          } ```,0,0.0,0,no change
"Never mind, red herring!","never presume , red - herring !",0,-29.166666666666668,-7,increase
"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Map[""String"", Media Type Object]). That, or pointlessly assuming nobody would need it anyway.  API endpoints are not RPCs and hence are not uniquely valued mathematical functions!  At the very least, it should be mentioned under Limitations or Er","to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec , probably by reading too much into the example without properly reading the spec itself ( the type of the ' content ' field is quite explicitly a map [ "" string "" , media type object ] ) . that , or pointless assuming nobody would need it anyway . api endpoints are not rpcs and hence are not uniquely valued mathematical functions ! at the very least , it should be mentioned under limitations or er",0,-2.3529411764705883,-12,increase
"I have tried all HLS streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about smoothness with the content like this.  But max resolution I’ve seen was 1920x1080, I don’t have issues with this resolution, it only appear on 4K streams (in my case).  4K 60fps DASH was pretty smooth with speeds up to 1.5x (2x is ugly).  Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.","i have tried all hls streams in demo app with speed up to 2x ( when possible , apple master streams cannot change speed ) , playback is smooth , if we can talk about smoothness with the content like this . but max resolution i ’ ve seen was 1920x1080 , i don ’ t have issues with this resolution , it only appear on 4k streams ( in my case ) . 4k 60fps dash was pretty smooth with speeds up to 1 . 5x ( 2x is ugly ) . clear dash uhd 264 / 265 24fps playback is smooth even with 2x speed .",0,-4.273504273504273,-20,increase
Thanks for your reply. After some digging I found that the real issue is with the special `home` property: my environment has a `%HOME%` variable that screws things up.  Sorry for opening this issue,thanks for your reply . after some digging i found that the real issue is with the special ` home ` property : my environment has a ` % home % ` variable that makes things up . sorry for opening this issue,0,-3.535353535353535,-7,increase
"Forcing clients to re-parse text returned by utility that parses text is weird. Can we have nested nodes that provide variable name separately?  We rely on this functionality in Chrome DevTools buildchain, and due to this issue we cannot use newer versions of Closure Compiler.","forcing clients to re - parse text returned by utility that parses text is weird . can we have nested nodes that provide variable name separately ? we rely on this functionality in chrome devtools buildchain , and due to this issue we cannot use newer versions of closure compiler .",0,-1.8050541516245486,-5,increase
"Holy mother your FCM messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking battery/background configuration on your device. This is super odd but sadly not something we can control.  ![image](https://user-images.githubusercontent.com/66265416/179264816-26e82049-f7f5-4587-80a3-163d929e0564.png)","holy mother your fcm messages for signal are very much delayed , averaging ~ 5 - 6 hours . i ' d recommend checking battery / background configuration on your device . this is super odd but unfortunately not something we can control . ! [ image ] ( https : / / user - images . githubusercontent . com / 66265416 / 179264816 - 26e82049 - f7f5 - 4587 - 80a3 - 163d929e0564 . png )",0,-15.59633027522936,-51,increase
e name of the service. Which was youtube in this case.  So in order to know what time of kiosk you are seeing id like to leave a header. Although its true the current header is ugly.,e name of the service . which was youtube in this case . so in order to know what time of kiosk you are seeing id like to leave a header . although its true the current header is ugly .,0,-1.6483516483516485,-3,increase
Has anyone figured out how to get around this?,has anyone figured out just how to get around this ?,0,-13.043478260869565,-6,increase
"Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all crazy, or we've come to a generic solution and most users are familiar with the style. Tally ho","your standard video game key assignment screen , yeah ? seems like exactly how everyone else solves it which means either we ' re all crazy , or we ' ve come to a generic solution and most users are familiar with the style . tally ho",0,-3.5555555555555554,-8,increase
"Thanks! Could i ask you to sign our CLA if you haven't set? See http I know that kinda sucks, but we have to keep things in order.","thanks ! could i ask you to sign our cla if you haven ' t set ? see http i know that kinda didactic , but we have to keep things in order .",0,-6.923076923076923,-9,increase
">  >  > > no-one from Signal noticed >  > @user closed #11114... and that's it 😑 >  > Come on, this is so annoying, and clearly _easy to fix_ if workarounds from #10929 make it work (I tried, and they do. I had to teach my mom how to do it 😑)  I don't get what these guys are doing. This shows that they are reading these bugs and yet no-one has had the courtesy to even acknowledge the problem listed here and in multiple related reports, let alone to give any indication of when the (most likely trivial) wor","> > > > no - one from signal noticed > > @ user closed # 11114 . . . and that ' s it [UNK] > > come on , this is so annoying , and clearly _ easy to fix _ if workarounds from # 10929 make it work ( i tried , and they do . i had to teach my mom how to do it [UNK] ) i don ' t get what these guys are doing . this shows that they are reading these bugs and yet no - one has had the courtesy to even acknowledge the problem listed here and in multiple related reports , let alone to give any indication of when the ( most likely trivial ) wor",0,-5.686274509803922,-29,increase
"@user Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it. I'd rather add another option ""Send picture (uncompressed)"" to the attachment menu. But also on the receiver side I would not want my app to autmatically download uncompressed images and waste my limited data plan.  @user Currently pictures with text in it are n","@ user manual resizing of pictures before sending them is the most uncomfortable thing i can imagine in a mobile messenger app . it needs at least twice the time in a point , shoot and send situation . also common users even have no idea how to do it . i ' d rather add another option "" send picture ( uncompressed ) "" to the attachment menu . but also on the receiver side i would not want my app to autmatically download uncompressed images and waste my limited data plan . @ user currently pictures with text in it are n",0,-2.549019607843137,-13,increase
me in a platform independent way ( I am using it for loading avatar images inside a game),it works in a platform independent way ( i am using it for loading avatar images inside a game ),0,-7.865168539325842,-7,increase
That stories crap is one of the main reasons i migrated from YouTube don't make me go back to YouTube and speak for yourself when assuming everybody wants this feature,that stories stuff is one of the main reasons i migrated from youtube don ' t make me go back to youtube and speak for yourself when assuming everybody wants this feature,0,-1.7964071856287425,-3,increase
"FWIW, I tried it on Windows and both work, but it definitely makes sense to go with what Microsoft says is right for their OS.","fwiw , i tried it on windows and both work , but it definitely makes sense to go with what microsoft says is right for their os .",0,-2.380952380952381,-3,increase
Every day of my life is a vacation.,every day of my life is a vacation .,0,-2.857142857142857,-1,increase
"Nevermind, it was a reverse proxy issue.","nevermind , it was a reverse proxy issue .",0,-5.0,-2,increase
"Sorry about that. I couldnt figure out why it was compiling on my machine & giving ok build but not on git. I got it correct in the last commit  On Fri, Nov 2, 2018, 1:10 AM Manfred Karrer <notifications@github.com wrote:  > Man, you produce commits like hell.... Whats going on? > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/bisq-network/bisq/pull/1856#issuecomment-435272806>, > or mute the thread > <https://github.co","sorry about that . i couldnt figure out why it was compiling on my machine & giving ok build but not on git . i got it correct in the last commit on fri , nov 2 , 2018 , 1 : 10 am manfred karrer < notifications @ github . com wrote : > man , you produce commits like . . . . . whats going on ? > > — > you are receiving this because you authored the thread . > reply to this email directly , view it on github > < https : / / github . com / bisq - network / bisq / pull / 1856 # issue - 435272806 > , > or mute the thread > < https : / / github . co",0,-7.647058823529412,-39,increase
"+1, it's annoying","+ 1 , it ' s .",0,17.647058823529413,3,decrease
"numbers cannot be mapped to a double datatype using match_mapping_type.  That part probably needs clarification though I'm not sure how to do it. Basically, the json parser assumes the wider datatype that is not a BigDecimal/BigInteger. So floating-point numbers will be detected as a `double` rather than a `float` and integers will be detected as a `long` rather than an `integer`. You can dynamically map floating-point numbers to doubles by using `double` as a `match_mapping_type` and `double` as a type i","numbers cannot be mapped to a double datatype using match _ mapping _ type . that part probably needs clarification though i ' m not sure how to do it . basically , the json parser assumes the wider datatype that is not a bigdecimal / biginteger . so floating - point numbers will be detected as a ` double ` rather than a ` float ` and integers will be detected as a ` long ` rather than an ` integer ` . you can dynamically map floating - point numbers to doubles by using ` double ` as a ` match _ mapping _ type ` and ` double ` as a type i",0,-6.666666666666667,-34,increase
" as deliberate DOS and opportunisitc eavesdropping by anyone who can spoof email addresses.  Authors of the standard say its security depends on a working spam filter - does that sound like strong security? Wild guess.. pretty soon spammers will start inserting fake autocrypt headers to improve ham/spam score of their messages.   Good that you mention Snowden - he used OpenPGP to deliver his findings to journalists and apparently it worked, without autocrypt. And it is a nice reading how he did it. Good s","as deliberate dos and opportunisitc eavesdropping by anyone who can dispense with email addresses . authors of the standard say its security depends on a working spa filter - does that sound like strong security ? wild guess . . pretty soon spammers will start inserting fake autocrypt headers to improve ham / spa score of their messages . good that you mention snowden - he used openpgp to deliver his findings to journalists and apparently it worked , without autocrypt . and it is a nice reading how he did it . good s",0,-2.3529411764705883,-12,increase
"I've noted that when you get the message that you have attempted to register too many times, the system usually ""resets"" and lets you try after an hour or so. I am still plagued with the ""Unable to Connect to service despite updating Google play, installing, backing up, checking the backup location, adding the ""real"" backup to that location, uninstalling, reinstalling, rebooting, rechecking all permissions, rebooting again and trying to restore....   If you get all that then you know where I have been....","i ' ve noted that when you get the message that you have attempted to register too many times , the system usually "" resets "" and lets you try after an hour or so . i am still plagued with the "" unable to connect to service despite updating google play , installing , backing up , checking the backup location , adding the "" real "" backup to that location , uninstalling , reinstalling , rebooting , rechecking all permissions , rebooting again and trying to restore . . . . if you get all that then you know where i have been . . . .",0,-4.705882352941177,-24,increase
Rearly. I've encountered some other problems related to audio playing. The only auido player that works for me so far is VLC. So I think (as in most cases) It's just that damn android again.,rearly . i ' ve encountered some other problems related to audio playing . the only auido player that works for me so far is vlc . so i think ( as in most cases ) it ' s just that i am an android again .,0,-6.842105263157896,-13,increase
without issues.,no issues .,0,26.666666666666668,4,decrease
Err:508,2 xxxix : 508,0,-85.71428571428571,-6,increase
" [<none> -> pulsar://localhost:6650] Failed to establish connection: Connection refused  even the simple one gives the same error:  consumer = client.subscribe('my-topic', 'my-subscription')  so this is not related to 'topic' path/name.  It crashes at this line inside:     c._consumer = self._client.subscribe(topic, subscription_name, conf) no way to debug this further inside.  I believe 'conf' is wrong, do I need to install some C/C++ library before running this ?  Gurgen","[ < none > - > pulsar : / / localhost : 6650 ] failed to establish connection : connection refused even the simple one gives the same error : consumer = client . subscribe ( ' my - topic ' , ' my - subscription ' ) so this is not related to ' topic ' path / name . it crashes at this line inside : c . _ consumer = self . _ client . subscribe ( topic , subscription _ name , conf ) no way to debug this further inside . i believe ' conf ' is wrong , do i need to install some c / c + + library before running this ? gurgen",0,-9.433962264150944,-45,increase
" where the temporary directory will now be `elasticsearch.XXXXXXX.<eight random characters>`. That's ugly, and macOS is so popular a development platform I would not want to do that.  Given a workaround exists, and we don't want to take on code for unsupported platforms, I am going to close this pull request.","where the temporary directory will now be ` elasticsearch . xxxxxxx . < eight random characters > ` . that ' s ugly , and macos is so popular a development platform i would not want to do that . given a workaround exists , and we don ' t want to take on code for other development platforms , i am going to close this pull request .",0,-7.096774193548387,-22,increase
"I am able to reproduce this now:  1. user sends a message to your group: you will hear the group sound (as expected) 2. user sends a message directly to you: you will hear the user's sound (as expected) 3. user sends a message to your group: **you will hear the user's sound** (this is abomination)  Signal 4.33.5, Android Pie","i am able to reproduce this now : 1 . user sends a message to your group : you will hear the group sound ( as expected ) 2 . user sends a message directly to you : you will hear the user ' s sound ( as expected ) 3 . user sends a message to your group : * * you will hear the user ' s sound * * ( this is ab ) signal 4 . 33 . 5 , android pie",0,-4.601226993865031,-15,increase
Damn - I still see this issue in Android 5.1.1,5 . 1 - i still see this issue in android 5 . 1 . 1,0,-10.869565217391305,-5,increase
" some usage impediment. Are you sure you want them to not have a chance to understand what they're doing at least at the level at which a decent threat model wizard could explain it?)  It doesn't even have to be a startup wizard - you can keep just the ""revolution vs. casual texing"" question at the startup and put the threat model wizard right in the Settings menu - so the Security section of the Settings menu wouldn't just show you all the detailed options directly but ask you first if you know what you'","some usage imp . are you sure you want them to not have a chance to understand what they ' re doing at least at the level at which a decent threat model wizard could explain it ? ) it doesn ' t even have to be a startup wizard - you can keep just the "" revolution vs . casual texing "" question at the startup and put the threat model wizard right in the settings menu - so the security section of the settings menu wouldn ' t just show you all the detailed options directly but ask you first if you know what you '",0,-0.7843137254901961,-4,increase
"Thanks for the detailed bug report!!! You can send me the log file (manfred at bitsquare dot io) together with trade ID and txIds.  It looks that the dispute payout tx was not successful and need to be redone manually. No worry no fund ever lost. I would recommend after we have resolved that to start over with a new app and new data directory, seems there are some database files screwed up. You can export your payment accounts and re-import them. See http","thanks for the detailed bug report ! ! ! you can send me the log file ( manfred at bitsquare dot io ) together with trade id and txids . it looks that the log file for payout tx was not successful and need to be redone manually . no worry no fund ever lost . i would recommend after we have resolved that to start over with a new app and new data directory , seems there are some database files screwed up . you can export your payment accounts and re - import them . see http",0,-3.7037037037037033,-17,increase
"@user I have not tested the issue with Linux, but you can try a few other things: - increase window size, - add more arrays & allocations, - decrease allocation size (curiously, a 10 times larger array than what's in the example works fine).  If you have a modern machine, it might be able to handle a lot more & faster than mine. Generally try doing something time consuming after `size()`. Another example:  ``` java void setup() {   size(600, 600);   // fix: ellipse(100, 100, 50, 50);   loadPixels();   upd","@ user i have not tested the issue with linux , but you can try a few other things : - increase window size , - add more arrays & allocations , - decrease allocation size ( curiously , a 10 times larger array than what ' s in the example works fine ) . if you have a modern machine , it might be able to handle a lot more & faster than mine . generally try doing something time consuming after ` size ( ) ` . another example : ` ` ` java void setup ( ) { size ( 600 , 600 ) ; / / fix : ellipse ( 100 , 100 , 50 , 50 ) ; loadpixels ( ) ; upd",0,-5.88235294117647,-30,increase
I suppose YouTube changed something in its page layout.,i suppose youtube changed something in its page layout .,0,-1.8181818181818181,-1,increase
It isn't supposed to.,it isn ' t supposed to .,0,-14.285714285714285,-3,increase
"FWIW, I've been testing my app on Genymotion, Galaxy Nexus and S4 today and haven't seen the bug at all. They're all 4.x devices though.","fwiw , i ' ve been testing my app on genymotion , galaxy nexus and s4 today and haven ' t seen the bug at all . they ' re all 4 . x devices though .",0,-8.823529411764707,-12,increase
I end up with multiple slots on my shiny server and have to add the same people every time. With this many people it is getting incredibly inconvenient.,i end up stuck with multiple slots on my shiny server and have to add the same people every time . with this many people it is getting incredibly inconvenient .,0,-5.263157894736842,-8,increase
What a shame :(,what a shame : (,0,-6.666666666666667,-1,increase
"oh man, jar hell? I guess you should enable jarhell checks in your app. I will use this as an example for everybody complaining in the future.","oh man , jarhell checks ? i guess you should enable jarhell checks in your app . i will use this as an example for everybody complaining in the future .",0,-7.042253521126761,-10,increase
"I think we're at the mercy of gstreamer here, it's not something we can fix.","i think we ' re at the mercy of gstreamer here , it ' s not something we can fix .",0,-7.894736842105263,-6,increase
holy f*ck  this issues opened on 21 Dec 2015 and no import from csv to database ( (3 years gone),holy f * twk this issues opened on 21 dec 2015 and no import from csv to database ( ( 3 years gone ),0,-4.166666666666666,-4,increase
" there is no real need for Test scope in 99% of the cases so in upcoming version this might be the way to go. For instance all our REST tests run against such a cluster, they are way more reliable than all other tests.","there is no real need for test scope in 99 % of the cases so in upcoming version this might be the way to go . for instance all our rest tests run against such a cluster , they are way more reliable than all other tests .",0,-1.3761467889908259,-3,increase
I just tested the same thing on `demo.thingsboard.io` and can not reproduce the problem. A diff between v2.5.2 and develop/3.1 shows no changes to anything CoAP related. Wtf?,i just tested the same thing on ` demo . thingsboard . io ` and can not reproduce the problem . a diff between v2 . 5 . 2 and develop / 3 . 1 shows no changes to anything coap related . w ?,0,-8.620689655172415,-15,increase
-1 to enable by default. That's horrible!,- 1 to enable by default . that ' s terrible !,0,-12.195121951219512,-5,increase
Using sleep not the best solution whenever in my cases it won't work 100% in all cases. I have tried out lots of different workaround and no one worked for me well. That is real pain in the ass as we heavily use this component.,"using sleep not the best solution whenever in my cases it won ' t work 100 % in all cases . i have tried out lots of different workaround and no one worked for me well . that is real pain in the face , especially as we heavily use this component .",0,-8.81057268722467,-20,increase
"sorry to paraphrase what you said; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards, which is pointless and we should prevent this?  a naive/ugly approach would be to check that the primary's response version is the requested version and therefore that a change happened, erm I'll look into it now.","sorry to paraphrase what you said ; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards , which is pointless and we should prevent this ? a naive / ugly approach would be to check that the primary ' s response version is the requested version and therefore that a change happened , erm i ' ll look into it now .",0,-2.8089887640449436,-10,increase
"rd Indicator and it's features (i.a. full text search), so I didn't bother testing other clipboard managers.  But if I can test something specifically to help resolve this issue, let me know!","rd indicator and it ' s features ( i . a . full text search ) , so i didn ' t bother testing other clipboard managers . but if i can test something specifically to help resolve this issue , let me know !",0,-6.282722513089005,-12,increase
Looks like you're ready to open a PR!,looks like you ' re ready to open a pr !,0,-8.108108108108109,-3,increase
"stalled. - `craptube-name.jar`: The extension name is different from the service name, so it should fail after having accepted installation. - `craptube.jar`: It now has even more `CRAP`.  Please keep this version installed and add subscriptions and remote playlists from various services. When I post the next version, it will have a different DB scheme, so the migration for that should be tested.","stalled . - ` stuff - name . jar ` : the extension name is different from the service name , so it should fail after having accepted installation . - ` stuff . jar ` : it now has even more ` stuff ` . please keep this version installed and add subscriptions and remote playlists from various services . when i post the next version , it will have a different db scheme , so the migration for that should be tested .",0,-4.010025062656641,-16,increase
"my hardware to bigger numbers but i don't need it.  After 24h, when some of the documents with the same ID comes in, the performance drops miserably to 500 documents per second, even less, then the CPU skyrockets and iowait sucks most of my resources. I tried changing the batch size, the threads, but no solution found.  I wanted to underline that you don't need duplicate documents in the same bulk request to trigger this ugly performance issue. You just need to update a few existing documents per request ","my hardware to bigger numbers but i don ' t need it . after 24h , when some of the documents with the same id comes in , the performance drops from 300 documents to 500 documents per second , even less , then the cpu skyrockets and iowait takes most of my resources . i tried changing the batch size , the threads , but no solution found . i wanted to underline that you don ' t need duplicate documents in the same bulk request to trigger this ugly performance issue . you just need to update a few existing documents per request",0,-3.9215686274509802,-20,increase
"where?  This is the best I could find...   * no official helpdocs for endusers whatsoever == http  * github-based quasi-official helpdocs give no detailed instructions whatsoever == http  * 2017 tacitly-official comment by moxie0 says to try googling(tm) to learn how == http   * 2018 unofficial-comment with SOMEWHAT detailed instructions == http  (""open a command prompt"" is not really aimed at the everyday enduser from the whatsapp crowd however!)  * 2014 unofficial-commentTwo with significantly different","where ? this is the best i could find . . . * no official helpdocs for endusers whatsoever = = http * github - based quasi - official helpdocs give no detailed instructions whatsoever = = http * 2017 tacitly - official comment by moxie0 says to try googling ( tm ) to learn how = = http * 2018 unofficial - comment with somewhat detailed instructions = = http ( "" open a command prompt "" is not really aimed at the everyday enduser from the whatsapp crowd however ! ) * 2014 unofficial - commenttwo with significantly different",0,-3.3333333333333335,-17,increase
githubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png) ...Then I ractivated the realtime protection. And it's allright. Damn Windows !,githubusercontent . com / 5811393 / 41500883 - 7e68a2b2 - 719a - 11e8 - 8943 - 5a31da6246a1 . png ) . . . then i ractivated the realtime protection . and it ' s allright . god windows !,0,-15.625,-25,increase
uments in a log-like file for ECS.  Hope this rambling make sense. Thank you for the valuable input!,uments in a log - like file for ecs . hope this rambling make sense . thank you for the valuable input !,0,-4.0,-4,increase
I'm afraid I didn't understand your comment.,"i ' m sorry , i didn ' t understand your comment .",0,-13.636363636363635,-6,increase
Closing.  The PR contains changes from multiple branches...I hate Git.,closing . the pr contains changes from multiple branches . . . i hate . . . .,0,-10.0,-7,increase
"t behavior from ""hey everyone that person you have stored in your addressbook for some possibly creepy reason is now on Signal! Creep them out!"" to that stalker having to [look up on WikiHow](https://www.wikihow.com/Know-if-a-Contact-Is-Using-Signal) a way to spy.  I cannot find a single open one that speaks to this at all, though i do understand that ending the functional directory of Signal users is a goal: http (though that's so focused on the technical, hiding stuff from your own phone, that i'm still","t behavior from "" hey everyone that person you have stored in your addressbook for some possibly creepy reason is now on signal ! spook them out ! "" to that stalker having to [ look up on wikihow ] ( https : / / www . wikihow . com / know - if - a - contact - is - using - signal ) a way to spy . i cannot find a single open one that speaks to this at all , though i do understand that ending the functional directory of signal users is a goal : http ( though that ' s so focused on the technical , hiding stuff from your own phone , that i ' m still",0,-7.8431372549019605,-40,increase
I don't think we're ever going to get more info.,i don ' t think we ' re really ever going to get more info .,0,-25.0,-12,increase
"Damn paper trail. Sometimes, when I'm alone in the dark, I like to break all the things.","like a paper trail . sometimes , when i ' m alone in the dark , i like to break all the things .",0,-9.090909090909092,-8,increase
