row_number,uncivil_tokens,T5,bart,condabert,count,diffudetox,gpt4,gpt35,madan,marco,marian,nllb,paradetox,paragedi,politebot
48,11,55,37,13,3,12,57,187,22,9,72,34,4,32,11
49,12,35,22,15,12,5,46,54,20,13,71,33,12,4,32
50,12,64,12,12,12,13,14,38,12,12,49,70,5,18,22
51,12,12,24,18,12,10,16,84,17,11,6,24,13,11,22
52,13,69,72,14,12,6,96,31,40,11,51,59,12,26,13
53,13,12,12,13,12,19,123,61,13,14,12,13,13,7,40
54,13,28,41,13,28,8,56,125,17,14,113,13,19,13,21
55,13,25,46,9,8,13,58,46,33,15,61,13,16,13,17
56,13,55,38,17,13,13,50,30,13,10,14,13,13,14,20
57,13,44,58,23,13,9,59,19,26,16,86,34,13,17,33
58,13,38,66,18,9,13,29,37,26,6,117,34,9,24,36
59,14,14,17,11,13,14,42,61,13,16,35,31,13,19,22
60,14,37,13,24,14,12,166,34,30,15,61,60,15,28,30
61,15,42,15,11,15,5,43,102,28,13,169,79,15,28,40
62,15,15,15,16,13,12,33,125,31,11,15,16,22,22,28
63,15,45,20,20,12,15,22,32,27,10,15,37,12,13,38
64,15,15,36,11,15,19,57,17,20,18,53,44,15,7,35
65,15,31,25,15,25,15,32,47,15,8,44,21,18,26,20
66,15,70,30,22,15,16,49,35,25,15,67,25,15,15,15
67,15,47,25,16,15,9,53,46,36,15,56,18,11,24,37
68,15,26,42,22,14,15,29,36,30,11,20,52,9,24,22
69,15,36,15,17,14,16,35,63,15,13,47,30,15,14,35
70,15,48,56,16,16,15,41,52,20,14,72,32,16,19,42
71,16,41,74,17,15,16,39,56,24,9,98,44,16,17,26
72,16,31,35,20,16,11,30,43,16,11,38,32,16,1,19
73,16,50,67,17,16,16,54,48,18,17,83,34,12,19,33
74,16,48,24,13,15,17,60,50,22,20,78,16,16,22,23
75,16,49,50,17,17,11,39,35,29,18,43,16,17,11,30
76,17,17,20,14,4,17,45,38,17,19,28,24,11,16,26
77,17,29,24,23,15,17,42,19,25,16,29,17,17,25,30
78,17,31,17,19,15,17,39,46,30,13,17,17,17,14,17
79,17,36,51,19,17,17,53,33,23,14,39,73,17,27,29
80,17,55,19,19,17,17,38,25,22,16,16,25,17,17,35
81,17,41,44,20,17,18,40,68,25,18,62,49,18,19,27
82,18,21,19,12,18,18,30,25,39,13,25,30,18,20,37
83,18,39,48,18,17,18,74,72,32,18,26,30,18,64,25
84,18,21,18,21,14,18,32,51,18,24,29,18,18,14,27
85,18,23,24,19,18,19,31,47,18,17,53,49,18,15,23
86,18,55,22,19,19,19,43,37,29,22,24,21,19,18,28
87,19,64,27,20,19,18,49,47,27,16,76,42,19,11,25
88,19,55,32,24,19,14,59,95,18,20,73,61,19,26,41
89,19,122,19,30,14,18,73,38,32,23,19,69,14,19,22
90,19,33,14,32,19,19,28,63,33,25,19,22,19,19,18
91,19,57,46,19,4,19,58,29,28,21,44,25,17,21,42
92,19,32,24,14,19,19,23,129,27,13,35,33,19,28,46
93,19,40,34,20,18,19,39,39,19,20,27,31,19,20,40
94,19,90,94,20,18,18,74,52,30,22,64,19,19,25,34
95,19,72,59,22,19,13,37,32,29,19,83,29,14,19,19
96,20,43,20,20,16,17,51,58,56,21,33,23,19,17,30
97,20,19,19,20,20,20,274,54,27,25,71,67,17,20,30
98,20,20,28,31,20,20,42,125,27,18,32,32,20,14,54
99,20,26,20,11,20,20,52,63,27,17,22,21,20,10,27
100,20,54,34,20,20,9,33,68,28,17,20,37,20,25,44
101,20,65,87,26,19,20,67,36,19,19,81,63,17,39,40
102,20,33,52,18,17,19,46,84,26,19,35,20,19,26,52
103,20,46,58,21,20,20,42,69,20,24,40,30,20,19,34
104,20,19,20,22,20,21,44,75,34,21,36,19,20,20,20
105,20,20,67,23,21,21,49,41,32,20,46,20,21,27,27
106,21,48,25,24,21,21,62,31,29,21,27,68,21,19,27
107,21,53,13,21,21,21,66,39,42,20,36,47,16,8,45
108,21,21,21,21,21,20,65,57,21,16,106,21,21,29,27
109,21,72,21,31,18,12,84,80,20,16,27,40,20,20,38
110,21,54,41,21,17,21,28,57,37,19,79,21,12,37,31
111,21,55,30,25,21,28,47,51,27,20,113,21,21,34,31
112,21,83,31,22,33,22,53,40,11,24,58,21,42,17,50
113,22,37,77,22,22,22,134,136,22,15,5,41,22,25,28
114,22,57,27,20,22,21,51,133,33,18,49,60,22,27,22
115,22,46,31,22,21,22,79,50,21,22,61,33,18,25,59
116,22,64,22,23,21,22,39,78,30,23,40,22,22,32,31
117,22,63,72,23,21,22,100,65,30,24,73,22,22,24,42
118,22,56,35,32,22,20,55,61,26,20,77,29,21,27,30
119,22,39,22,21,23,23,58,164,24,14,48,47,20,29,42
120,23,72,46,26,23,23,39,45,23,19,55,22,23,20,35
121,23,61,52,24,23,23,50,38,29,28,59,46,23,33,33
122,23,41,29,24,23,22,89,109,40,23,64,47,23,22,30
123,23,33,30,26,16,23,79,43,23,17,33,32,23,26,38
124,23,34,28,24,30,22,74,99,23,25,26,28,23,26,30
125,23,34,47,23,23,23,67,70,28,18,64,26,17,26,32
126,23,45,36,26,24,24,64,34,24,30,53,36,23,17,29
127,24,46,31,31,24,22,73,55,29,25,56,37,24,16,31
128,24,48,59,30,16,23,65,74,30,23,46,28,19,28,32
129,24,26,36,24,23,24,51,43,31,21,30,37,24,65,37
130,24,39,24,24,24,25,70,62,32,16,45,41,16,20,31
131,24,60,24,17,24,24,42,41,31,22,67,24,20,18,53
132,24,42,49,16,23,24,101,43,24,20,57,39,24,24,35
133,24,94,67,25,24,24,67,65,45,16,48,24,24,26,37
134,24,34,25,25,23,24,42,81,24,25,76,87,23,26,58
135,24,69,29,25,24,23,74,48,24,20,38,24,24,15,24
136,24,52,24,29,24,24,63,150,37,21,40,24,24,18,60
137,24,48,24,25,24,25,62,81,36,20,67,44,24,19,24
138,24,37,24,31,25,26,67,112,30,28,47,24,25,22,51
139,25,47,26,25,25,23,60,63,50,29,77,27,25,22,36
140,25,80,59,27,25,18,61,129,31,27,43,37,23,32,44
141,25,120,25,25,22,25,114,80,32,24,55,65,18,24,42
142,25,61,36,32,25,24,45,125,35,25,41,37,25,26,33
143,25,68,27,25,24,24,78,32,32,25,33,48,24,26,50
144,25,81,48,25,24,25,54,79,31,21,44,57,24,25,31
145,25,73,70,25,25,25,81,162,29,21,60,66,25,20,37
146,25,57,48,22,21,25,57,112,25,26,53,25,25,33,35
147,25,66,87,29,25,16,45,38,25,24,73,30,25,24,36
148,25,48,31,32,3,18,62,99,42,20,89,33,12,25,34
149,26,54,33,32,21,26,83,41,26,27,61,44,21,28,25
150,26,40,26,28,26,26,46,51,37,20,46,45,26,20,44
151,26,49,26,27,26,26,40,52,29,30,117,43,26,28,26
152,26,79,58,29,26,26,55,58,36,23,89,48,26,26,46
153,26,68,26,26,26,26,45,30,26,16,128,53,26,27,39
154,26,50,76,27,26,26,51,256,26,25,106,35,26,26,47
155,26,32,26,26,26,26,47,74,37,35,32,26,26,33,33
156,26,44,41,26,26,20,619,71,26,25,31,63,26,23,33
157,26,39,42,27,21,27,84,58,26,23,109,100,15,41,37
158,26,44,57,26,26,27,64,107,36,19,26,39,27,26,26
159,27,48,31,28,26,27,52,37,27,19,45,48,26,26,36
160,27,38,33,28,27,26,56,126,38,23,33,30,26,36,27
161,27,33,50,27,24,27,44,136,40,17,106,27,27,30,27
162,27,31,71,42,27,27,57,39,41,30,35,27,27,26,55
163,27,35,27,27,26,15,123,39,27,24,27,32,26,19,43
164,27,69,26,28,27,27,44,51,33,24,27,32,23,23,49
165,27,36,21,28,27,27,29,46,27,23,28,77,27,28,34
166,27,52,59,27,27,26,134,31,27,29,36,45,27,23,40
167,27,63,81,30,6,26,41,125,35,28,64,27,27,36,35
168,27,46,27,32,26,27,51,98,37,25,57,50,26,33,34
169,27,56,47,27,27,24,35,49,27,23,89,27,27,30,43
170,27,74,30,28,28,28,75,91,28,23,32,27,24,39,51
171,28,54,108,29,28,19,68,131,33,28,61,90,28,22,27
172,28,50,37,29,25,28,74,68,37,31,57,40,25,29,35
173,28,76,31,31,28,28,58,86,40,25,53,29,28,27,49
174,28,25,31,27,28,28,67,51,39,31,33,38,28,17,37
175,28,49,28,34,24,28,37,91,39,31,44,50,24,42,44
176,28,80,36,39,27,28,72,81,32,36,25,28,28,23,49
177,28,50,46,28,27,28,51,60,27,27,85,47,28,34,33
178,28,76,113,30,27,23,35,66,36,26,73,28,21,18,35
179,28,55,28,33,23,29,41,44,28,23,30,28,24,38,37
180,28,35,54,22,29,28,66,33,42,30,60,72,29,29,28
181,29,86,88,30,46,29,66,33,39,32,127,106,28,23,27
182,29,51,77,29,20,28,64,54,29,22,62,50,19,33,36
183,29,40,57,31,29,29,75,97,37,30,75,38,29,26,38
184,29,35,29,29,29,17,103,45,39,28,59,47,29,24,40
185,29,64,29,30,39,28,32,90,28,21,64,60,17,25,36
186,29,44,62,29,29,29,84,69,56,26,68,51,29,33,41
187,29,36,62,32,28,26,63,68,40,31,63,97,29,33,35
188,29,43,29,32,29,29,68,105,36,21,71,61,25,26,36
189,29,74,69,34,29,29,41,88,39,32,63,46,29,31,39
190,29,73,29,30,29,30,75,45,29,35,70,45,29,19,39
191,29,116,29,30,3,29,65,84,46,32,122,46,26,29,36
192,30,70,44,41,26,30,44,55,30,29,58,35,30,30,29
193,30,59,68,36,30,30,72,51,36,29,101,37,31,29,46
194,30,73,41,29,30,30,88,109,30,30,44,44,30,30,30
195,30,78,30,30,22,25,64,75,30,32,33,35,30,35,49
196,30,72,17,34,26,29,64,49,62,35,159,30,26,34,37
197,30,50,30,30,29,35,48,40,47,20,30,55,29,32,40
198,30,62,63,45,22,30,63,94,30,31,71,77,22,25,41
199,30,57,63,38,30,20,62,111,30,32,80,51,30,29,44
200,30,45,40,33,24,30,59,57,36,23,75,32,20,25,39
201,30,36,25,34,30,30,33,123,38,35,25,33,30,28,37
202,30,75,34,30,30,31,68,75,41,26,40,30,30,21,37
203,30,68,30,30,30,31,84,60,31,34,30,30,30,20,38
204,31,63,63,34,31,29,50,35,41,35,54,41,31,26,48
205,31,65,65,32,29,31,87,57,38,30,96,35,29,25,31
206,31,117,31,32,31,31,62,70,38,28,60,62,31,44,47
207,31,67,39,31,30,31,66,61,31,31,31,40,31,42,46
208,31,55,65,28,31,27,67,47,45,26,81,72,31,28,37
209,31,58,65,32,27,31,95,81,35,26,80,69,31,32,41
210,31,31,32,33,27,29,45,74,36,31,117,31,31,35,31
211,31,49,73,33,30,32,75,36,31,38,65,58,31,30,44
212,31,50,31,32,32,18,80,69,32,40,31,31,32,28,31
213,32,56,46,33,30,32,68,100,41,27,43,53,32,37,37
214,32,57,35,39,31,31,47,150,43,25,35,33,32,35,38
215,32,46,51,33,25,32,69,36,36,27,71,32,31,31,32
216,32,62,92,32,32,32,42,104,40,25,57,110,32,19,48
217,32,69,44,33,32,32,68,135,32,30,63,56,32,30,36
218,32,39,115,33,32,26,52,118,39,24,53,44,32,24,39
219,32,32,110,32,3,33,77,57,38,26,42,32,20,36,39
220,33,58,58,33,33,32,61,121,39,32,48,59,33,34,39
221,33,67,74,42,33,26,82,64,33,31,125,50,27,21,47
222,33,62,94,38,33,33,58,119,33,37,135,44,26,40,40
223,33,45,31,33,33,32,61,122,33,40,35,44,33,28,40
224,33,67,43,34,32,24,74,59,33,43,38,41,33,42,40
225,33,39,55,34,25,33,63,124,33,37,63,102,23,29,40
226,33,81,45,36,33,39,62,56,33,38,44,93,33,27,40
227,33,110,74,36,32,31,103,58,44,33,97,100,33,27,40
228,33,49,66,35,33,33,43,108,49,32,109,53,30,38,33
229,33,56,75,36,33,18,72,74,33,34,34,48,33,47,33
230,33,70,66,33,18,11,42,69,43,32,48,55,18,25,48
231,33,33,62,38,33,29,42,64,36,33,33,33,34,33,33
232,34,24,36,39,29,34,299,50,40,37,46,29,29,28,42
233,34,50,38,37,34,34,65,80,34,30,47,33,34,24,43
234,34,50,57,35,34,34,62,75,45,36,108,86,34,27,43
235,34,69,62,34,34,28,62,88,40,30,101,39,34,43,34
236,34,43,42,35,34,31,73,114,43,27,67,65,28,43,48
237,34,59,34,36,31,21,52,61,37,30,109,34,32,33,41
238,34,81,34,36,33,35,44,75,34,29,67,47,22,25,53
239,34,47,42,38,35,35,48,71,47,36,53,65,34,42,41
240,35,117,148,35,35,24,89,91,35,31,130,94,35,34,34
241,35,82,42,36,34,35,64,70,47,36,45,35,33,32,47
242,35,78,41,35,35,35,133,137,36,38,53,70,35,34,45
243,35,37,33,36,35,35,74,149,54,32,87,33,35,28,46
244,35,65,35,35,35,35,73,135,35,29,42,44,35,30,36
245,35,55,64,36,29,32,85,69,46,36,54,48,35,49,51
246,35,55,54,41,35,35,90,87,35,27,68,53,35,35,35
247,35,132,76,44,35,35,80,79,35,27,60,57,34,47,46
248,35,34,34,41,27,35,52,66,35,32,64,109,35,28,45
249,35,63,55,36,35,35,54,73,49,38,73,56,35,23,35
250,35,65,65,37,35,14,79,61,35,40,76,104,35,43,42
251,35,52,45,38,31,35,60,128,35,36,64,39,15,26,53
252,35,55,35,38,35,29,57,54,35,32,63,35,36,41,56
253,35,41,45,40,25,35,61,131,57,38,44,35,29,29,42
254,35,35,36,40,27,35,57,53,35,29,68,35,35,38,34
255,35,43,73,38,35,36,56,65,35,31,40,47,35,33,44
256,35,75,88,35,36,36,100,49,46,38,100,86,36,34,59
257,36,55,61,37,36,36,63,158,50,37,62,54,36,35,42
258,36,50,51,39,36,36,78,63,38,38,39,38,36,47,35
259,36,85,76,36,36,36,54,54,45,30,41,36,36,32,54
260,36,37,37,34,36,36,92,70,34,31,37,36,36,39,55
261,36,45,62,39,35,30,49,72,46,38,86,36,35,35,45
262,36,90,54,37,35,36,76,71,36,20,62,68,36,35,51
263,36,36,41,38,36,37,60,125,40,30,42,36,23,36,41
264,36,75,83,37,37,30,73,119,41,29,63,79,37,44,36
265,37,67,67,40,37,36,80,150,55,32,55,67,30,37,46
266,37,54,37,43,33,37,93,101,37,62,36,53,36,30,46
267,37,49,37,41,37,28,103,65,44,42,90,49,37,37,46
268,37,47,37,38,37,34,79,53,44,46,78,31,37,27,44
269,37,5,37,37,35,38,85,127,37,25,34,77,34,34,45
270,37,66,68,41,38,38,68,82,36,46,81,63,38,37,56
271,38,55,48,41,38,38,67,154,40,39,120,51,38,18,44
272,38,59,45,42,38,38,60,52,50,34,63,63,38,33,39
273,38,41,44,32,38,38,46,40,52,39,40,38,38,40,45
274,38,49,84,39,38,38,76,67,43,46,40,34,38,51,55
275,38,115,84,39,24,38,71,105,46,37,82,98,38,44,57
276,38,47,90,39,38,39,61,147,39,37,141,99,38,36,49
277,38,55,38,39,39,39,66,75,58,31,72,38,38,43,48
278,39,53,45,39,37,31,95,169,45,40,84,40,36,24,39
279,39,56,56,41,38,16,70,68,48,40,56,49,33,34,60
280,39,60,57,42,38,39,61,64,37,33,46,61,39,33,39
281,39,45,38,41,39,39,68,99,41,35,56,57,39,35,48
282,39,38,77,41,39,37,86,74,46,40,75,39,39,43,41
283,39,69,39,39,42,39,57,82,39,40,64,39,39,38,46
284,39,46,42,43,40,40,75,48,46,41,39,39,40,55,48
285,40,41,40,42,40,40,95,67,47,32,40,68,40,34,39
286,40,44,58,42,40,40,66,114,52,45,43,117,40,33,45
287,40,48,71,40,40,40,67,47,40,39,49,63,40,32,41
288,40,108,62,40,40,38,125,40,40,43,49,45,40,30,41
289,40,55,40,43,40,40,66,123,47,40,78,72,30,41,40
290,40,40,40,47,40,39,64,60,52,40,67,40,40,41,47
291,40,40,45,41,40,39,96,86,40,41,71,75,39,43,47
292,40,40,40,40,40,23,97,51,58,41,40,41,40,40,48
293,40,40,40,41,23,30,39,79,54,43,32,40,23,46,47
294,41,60,75,46,29,41,132,114,46,38,51,75,29,41,40
295,41,41,74,39,44,42,70,62,54,43,53,89,39,34,58
296,41,41,41,42,40,38,90,166,41,32,82,41,26,23,61
297,41,51,42,62,37,35,72,149,41,38,49,46,38,41,61
298,41,50,38,44,41,41,65,55,47,42,52,41,35,42,48
299,41,57,43,55,41,33,99,56,47,37,66,61,41,21,41
300,41,96,33,44,36,41,80,70,41,46,138,38,36,26,41
301,41,46,74,42,41,41,66,48,41,38,49,58,41,31,41
302,41,54,82,41,41,41,66,86,41,35,83,48,41,33,41
303,41,70,41,44,41,41,78,129,48,42,64,101,24,42,48
304,41,40,42,53,32,40,147,65,47,29,39,47,41,30,48
305,41,67,59,44,42,41,123,82,46,39,51,41,42,42,41
306,42,71,59,42,42,42,70,83,53,44,50,127,41,42,49
307,42,80,51,44,42,21,107,80,42,45,101,35,42,51,50
308,42,48,43,45,32,34,60,79,50,44,94,51,33,49,53
309,42,56,56,47,34,39,53,62,42,38,64,59,42,54,59
310,42,89,99,43,36,42,106,62,42,36,110,46,39,40,49
311,42,40,42,45,42,42,56,83,42,41,43,41,42,48,56
312,42,91,63,46,42,41,88,132,42,42,61,67,42,28,51
313,42,88,42,45,41,42,96,82,54,48,104,42,42,26,49
314,42,58,79,42,42,41,72,103,42,40,65,54,42,40,42
315,42,74,35,47,42,34,44,61,48,45,81,66,42,42,42
316,42,85,42,45,37,42,69,72,53,43,62,54,29,45,42
317,42,48,35,48,45,42,60,100,49,38,47,41,42,42,52
318,42,60,53,42,42,43,69,55,52,28,57,96,42,38,42
319,42,54,85,43,25,43,86,95,43,38,42,43,43,37,42
320,43,53,78,43,43,43,66,62,43,34,68,60,43,37,54
321,43,49,81,43,43,43,53,65,50,46,48,47,43,47,50
322,43,63,73,44,43,43,59,81,43,39,55,78,44,44,43
323,43,40,75,44,33,40,50,67,43,45,44,40,38,49,43
324,43,70,48,44,43,42,101,90,43,46,153,86,43,40,60
325,43,56,48,47,43,33,120,67,46,37,44,82,43,43,50
326,43,71,43,51,34,43,178,66,66,41,66,105,34,38,43
327,43,56,34,55,43,41,65,135,47,42,48,62,43,40,50
328,43,109,65,48,37,44,53,194,43,43,114,43,41,37,59
329,43,86,107,41,44,43,88,102,44,45,46,51,44,42,43
330,44,70,44,50,42,43,94,51,49,40,63,44,44,41,50
331,44,76,91,50,44,44,130,115,51,45,92,73,44,42,51
332,44,48,107,47,44,44,127,120,57,39,55,81,44,60,50
333,44,68,55,44,44,46,85,151,51,45,44,44,45,42,66
334,45,95,67,55,45,17,96,53,45,49,110,81,45,41,58
335,45,59,59,47,38,45,114,92,44,45,74,86,37,50,45
336,45,49,47,49,45,39,80,125,51,40,51,54,45,43,52
337,45,45,45,52,39,45,64,127,48,47,50,45,39,17,47
338,45,51,56,49,44,45,62,65,45,56,51,53,45,28,45
339,45,93,58,48,45,45,61,97,45,51,51,68,40,32,45
340,45,57,39,51,44,45,90,61,57,42,50,73,45,41,52
341,45,75,64,48,47,43,101,76,45,45,82,82,45,43,52
342,45,59,45,46,29,44,102,171,44,43,70,75,40,50,54
343,45,47,45,46,45,46,99,101,55,36,99,54,45,47,52
344,45,88,51,48,46,34,148,81,52,43,71,75,46,11,44
345,46,58,48,52,39,40,78,99,46,46,58,58,39,33,59
346,46,47,45,51,44,44,60,119,50,39,47,46,44,46,53
347,46,46,54,55,41,40,90,68,46,43,57,52,44,41,53
348,46,80,62,54,44,40,70,103,50,42,56,56,44,45,47
349,46,46,46,55,44,40,94,130,50,43,57,52,44,46,53
350,46,46,46,55,44,46,91,103,50,43,57,46,44,45,47
351,46,46,46,55,46,40,98,103,48,43,57,46,46,45,47
352,46,73,84,48,44,46,102,103,50,52,104,63,44,45,47
353,46,46,46,55,46,45,124,121,46,43,57,46,46,50,55
354,46,46,81,42,40,46,79,103,46,46,65,64,46,45,47
355,46,82,61,46,46,46,107,102,59,42,58,46,46,38,53
356,46,64,76,47,46,40,63,98,46,50,71,56,46,39,59
357,46,46,67,51,44,40,54,133,50,45,50,47,44,36,66
358,46,46,46,55,44,46,82,73,50,43,57,46,44,32,53
359,46,46,46,55,46,46,102,103,53,43,57,46,46,45,47
360,46,72,86,48,46,24,91,103,52,38,74,46,46,45,47
361,46,45,87,47,46,44,48,64,47,41,49,79,20,44,46
362,47,56,51,50,47,47,72,90,57,51,54,56,44,39,53
363,47,54,54,47,47,45,79,318,60,50,64,58,47,12,47
364,47,55,136,48,47,48,99,57,53,44,47,100,44,30,51
365,47,97,47,52,48,47,89,101,48,43,54,53,48,46,67
366,48,87,71,60,48,37,58,128,55,51,72,62,47,52,46
367,48,51,88,60,47,49,61,129,62,56,69,52,19,48,55
368,48,60,72,50,48,49,64,82,46,49,52,45,49,42,55
369,49,85,53,65,49,44,100,92,51,36,68,54,49,37,48
370,49,69,62,50,50,48,73,40,53,41,81,75,50,32,51
371,49,129,46,51,48,41,73,65,49,48,108,61,49,49,58
372,49,35,40,60,43,40,97,77,49,41,143,68,41,41,59
373,49,60,47,54,52,49,79,97,57,48,78,52,40,43,49
374,49,59,59,55,49,50,50,62,56,47,62,57,50,31,49
375,50,78,68,60,50,50,100,96,50,51,81,70,50,41,64
376,50,54,65,51,50,49,53,47,53,54,71,62,45,50,50
377,50,62,45,61,50,14,95,101,49,47,65,66,50,58,50
378,50,53,53,51,48,39,78,62,51,41,68,140,44,48,50
379,50,50,50,42,49,32,124,125,50,47,55,50,50,50,50
380,50,96,50,52,44,49,116,100,53,62,46,83,39,14,50
381,50,66,61,58,45,50,76,67,61,47,69,75,49,38,60
382,50,57,99,51,50,50,78,113,58,41,124,72,50,40,52
383,50,85,54,53,51,45,113,71,51,48,25,87,51,59,55
384,51,74,73,61,49,50,83,68,51,49,72,54,28,54,67
385,51,55,52,61,51,51,69,141,51,55,55,59,43,44,51
386,51,119,72,58,51,42,184,55,55,51,69,51,51,23,51
387,51,51,51,56,51,46,133,52,51,46,57,88,49,46,51
388,51,53,111,58,50,50,82,93,60,50,104,83,47,55,58
389,51,95,69,56,51,23,88,73,66,46,70,53,51,45,51
390,51,73,55,54,42,27,74,68,34,50,55,87,24,31,66
391,51,69,22,51,50,41,78,77,63,43,28,43,50,57,76
392,51,86,61,63,39,48,108,83,55,42,61,58,41,51,55
393,52,136,41,55,52,52,71,130,52,46,126,69,48,49,63
394,52,73,45,55,52,37,63,130,58,53,52,85,52,45,52
395,52,74,52,60,46,51,55,82,69,51,63,53,37,46,52
396,52,70,72,56,52,52,128,100,48,53,91,49,52,46,73
397,52,94,59,54,52,52,111,62,62,50,52,66,52,51,53
398,52,59,51,53,48,52,59,86,52,56,53,52,52,42,68
399,52,64,52,55,52,29,74,49,58,45,70,52,52,48,52
400,52,45,63,53,62,52,79,69,52,48,55,43,29,45,57
401,52,97,32,64,53,53,58,170,59,56,65,71,53,43,59
402,53,72,96,55,53,49,97,93,53,60,65,70,53,60,59
403,53,53,71,60,53,48,213,190,62,56,60,71,48,44,53
404,53,63,57,53,41,47,90,112,58,52,56,49,48,49,63
405,53,77,115,54,53,52,116,113,79,52,180,53,47,54,61
406,53,73,57,55,53,53,119,93,53,56,56,71,52,56,72
407,53,75,58,57,53,48,105,154,53,47,66,69,53,55,53
408,53,79,73,56,48,23,50,83,53,60,55,58,48,35,53
409,53,59,55,57,53,53,72,197,62,47,62,61,27,51,60
410,53,64,53,59,53,54,101,70,53,54,66,51,53,50,62
411,53,69,87,54,54,53,81,79,68,52,81,57,54,53,60
412,54,82,113,55,34,54,86,76,56,59,79,59,54,46,66
413,54,69,64,61,54,53,77,106,66,45,62,49,54,56,56
414,54,50,60,58,52,43,99,85,59,49,106,39,48,37,61
415,54,69,95,59,49,54,107,75,59,47,63,68,46,49,60
416,54,56,49,63,53,54,74,77,70,53,59,52,54,42,54
417,54,110,75,56,54,32,151,84,61,58,92,54,49,26,62
418,54,67,67,56,14,55,85,103,54,62,135,73,52,54,61
419,54,111,77,57,55,54,87,136,62,53,75,85,55,48,54
420,55,88,59,56,55,43,70,112,62,51,107,108,50,50,71
421,55,111,86,57,46,54,89,101,55,53,85,61,52,62,55
422,55,74,61,58,55,55,77,154,55,46,74,60,54,54,72
423,55,58,55,59,55,47,76,85,63,53,64,58,55,43,55
424,55,55,55,56,55,54,118,58,55,49,142,55,40,46,55
425,55,95,55,68,57,41,98,158,57,59,60,55,57,57,64
426,55,74,58,55,55,53,73,149,72,43,112,71,55,58,55
427,55,55,55,55,55,55,134,73,55,52,103,55,55,52,60
428,55,56,107,58,54,49,95,71,61,49,136,86,55,57,55
429,55,74,68,56,51,29,83,100,56,60,76,72,54,66,55
430,55,58,51,76,55,56,84,80,56,56,55,56,29,19,62
431,56,41,78,61,56,56,217,61,66,51,76,90,56,49,62
432,56,94,60,59,56,56,84,96,61,57,127,51,56,46,71
433,56,129,67,55,56,53,120,143,60,50,53,63,56,57,61
