uncivil,civil,
Let's celebrate yet another unsuccessful release.,"Let's acknowledge the effort put into another release, even though it did not meet our expectations.",
st stated is reflected in the trade statistics (that an offer is taken and becomes a trade). That is what I meant with objective value.,"What I intended to convey was that what was first stated can actually be verified in the trade statistics, where we can observe offers being made and then ultimately turning into trades. This was my point of reference when discussing objective value.",
 the users. This was no different to first TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-deniability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-deniability)) or first Tor exit node hosts.   > Only people who actually DO have something to hide install TS.  What about [CyanogenMod integration](https://whispersystems.org/blog/cyanogen-integration/)?  > What happens when TS becomes popular in a region?  Media/activists become aware of this feature and advise ,"The use of this software is quite similar to the early adopters of TueCrypt and the first Tor exit node hosts, following the principles of OTR and plausible deniability. However, one might mistakenly conclude that only those who have something to hide would consider installing TS.

It's also interesting to review the CyanogenMod integration which was a breakthrough at the time.

An intriguing question would be to consider what transpires when TS garners popularity in a certain region. The likelihood of media and activists becoming more knowledgeable about this feature and potentially advocating for it is quite high.",
static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) {         if ((!inet6Address.isSiteLocalAddress() && !inet6Address.isLinkLocalAddress())                 || inet6Address.getScopeId() > 0 || inet6Address.getScopedInterface() != null) {             return Collections.singleton(inet6Address),"The method getPossibleInetAddressesFor returns a collection of Inet6Address instances. It takes an Inet6Address argument and checks several conditions. 

Firstly, it ensures that the Inet6Address instance is neither site local nor link local. Secondly, it checks if the scope ID of the Inet6Address instance is more than zero. Lastly, it checks if the scoped interface of the Inet6Address instance is not null. 

If all these conditions are satisfied, it will return a singleton collection of the Inet6Address instance. This singleton collection represents a set of Inet6Address instances where only one such instance may exist. 

I hope this clarifies your query regarding this portion of the code. If you have further questions, please feel free to ask.",
"Open a new ticket with your code and the error, then.",Could you please open a new ticket that includes both your code and the error message? Thank you.,
      }          } ```,"I'm sorry, but your request is incomplete. Could you please provide the comment you want to be transformed into a more polite version?",
"Never mind, red herring!","Let's not worry about it, it may just be a diversion or misunderstanding.",
"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Map[""String"", Media Type Object]). That, or pointlessly assuming nobody would need it anyway.  API endpoints are not RPCs and hence are not uniquely valued mathematical functions!  At the very least, it should be mentioned under Limitations or Er","1. It appears that the root of the problem may be a misinterpretation of the spec, particularly relating to the 'content' field, which is specifically a Map[""String"", Media Type Object]. This could be due to giving too much weight to the examples rather than fully understanding the spec. Furthermore, it may have been mistakenly assumed that no one would require this feature. It's worth remembering that API endpoints differ from RPCs, as they don't function as uniquely valued mathematical entities. At the very least, such constraints should be noted in the Limitations or Error sections.",
"I have tried all HLS streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about smoothness with the content like this.  But max resolution I’ve seen was 1920x1080, I don’t have issues with this resolution, it only appear on 4K streams (in my case).  4K 60fps DASH was pretty smooth with speeds up to 1.5x (2x is ugly).  Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.","I've tested all HLS streams in the demo application, achieving a playback speed of up to 2x when feasible, given that Apple's master streams' speed cannot be altered. The playback experience appeared consistently smooth, considering the type of content I was utilizing. However, the highest resolution I've observed was 1920x1080. Any issues I encountered were restricted solely to 4K streams in my testing. DASH 60fps content at 4K resolution performed well, with smoothness preserved even at 1.5x speed — although a 2x speed appeared visibly less appealing. As for DASH UHD 264/265 24fps content, its playback was smooth even when played at accelerated 2x speed.",
Thanks for your reply. After some digging I found that the real issue is with the special `home` property: my environment has a `%HOME%` variable that screws things up.  Sorry for opening this issue,"Thank you for responding to me. After investigating a bit, I've discovered that the issue seems to stem from the special `home` property: it appears that in my environment, the `%HOME%` variable is causing some difficulties. I apologize if I have unnecessarily raised this issue.",
"Forcing clients to re-parse text returned by utility that parses text is weird. Can we have nested nodes that provide variable name separately?  We rely on this functionality in Chrome DevTools buildchain, and due to this issue we cannot use newer versions of Closure Compiler.","I hope this message finds you well. I find it a bit odd that clients are required to re-parse the text returned by a utility which is already intended to parse text - it seems somewhat counter-intuitive. Perhaps, a feasible solution could be to have nested nodes that allow the provision of variable names separately? In the context of our work, especially with the Chrome DevTools buildchain, we rely heavily on this function. This very aspect is currently preventing us from using the most recent versions of Closure Compiler. Your support and understanding in this matter are much appreciated.",
"Holy mother your FCM messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking battery/background configuration on your device. This is super odd but sadly not something we can control.  ![image](https://user-images.githubusercontent.com/66265416/179264816-26e82049-f7f5-4587-80a3-163d929e0564.png)","I have noticed that your FCM messages for Signal seem to be experiencing significant delays, averaging around 5-6 hours. It may be beneficial to check the configuration of your battery or background settings on your device. This circumstance is rather unusual and unfortunately, it's not something we have the ability to manage.",
e name of the service. Which was youtube in this case.  So in order to know what time of kiosk you are seeing id like to leave a header. Although its true the current header is ugly.,"Regarding the specific service you mentioned, which, in this case, is Youtube, it would be immensely helpful to understand exactly what type of kiosk you are referring to. Consequently, I propose the use of a header for clarity. Please understand that I only suggest this with the intention of improving the overall presentation, as I realize the current header is not aesthetically pleasing.",
Has anyone figured out how to get around this?,Would anyone happen to have a solution on how to tackle this particular issue?,
"Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all crazy, or we've come to a generic solution and most users are familiar with the style. Tally ho","The key assignment screen in your video game appears to be quite standard, correct? It seems to resemble others in similar games, which suggests either a universal preference or the development of a typical solution that most users find comfortable. This is quite an interesting observation, isn't it?",
"Thanks! Could i ask you to sign our CLA if you haven't set? See http I know that kinda sucks, but we have to keep things in order.","Thank you! Could I kindly request your signature on our CLA if you haven't done so already? Here's the link: [insert link]. I understand that it might be a bit inconvenient, but it's crucial for keeping things regulated and orderly. We appreciate your understanding.",
">  >  > > no-one from Signal noticed >  > @user closed #11114... and that's it 😑 >  > Come on, this is so annoying, and clearly _easy to fix_ if workarounds from #10929 make it work (I tried, and they do. I had to teach my mom how to do it 😑)  I don't get what these guys are doing. This shows that they are reading these bugs and yet no-one has had the courtesy to even acknowledge the problem listed here and in multiple related reports, let alone to give any indication of when the (most likely trivial) wor","It appears no one from Signal has addressed issue #11114 and it's currently closed. This situation is slightly frustrating since it seems like a relatively straightforward issue to resolve - the fact that workarounds from #10929 have proven successful is a testament to that. In fact, I personally had positive results using these workarounds and ended up guiding my mom through the process as well.

What confuses me is that although these issues are clearly being read by the team, there doesn't seem to be any acknowledgment of the problems listed here or in other related reports. It would be greatly appreciated if some form of feedback or possible timeline for resolution could be shared, especially if the issue appears to be a simple fix.",
"@user Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it. I'd rather add another option ""Send picture (uncompressed)"" to the attachment menu. But also on the receiver side I would not want my app to autmatically download uncompressed images and waste my limited data plan.  @user Currently pictures with text in it are n","1. @user, it's quite challenging to manually resize pictures before sending them in a mobile messenger application. This process might be difficult and time-consuming for many users. It might be beneficial to consider adding an option such as ""Send picture (uncompressed)"" to the attachment menu. However, it's also important to think about the data consumption on the receiver's side while downloading uncompressed images automatically. #JustASuggestion

2. @user, at present, there seems to be an issue with textual images. This could presumably need some attention.",
me in a platform independent way ( I am using it for loading avatar images inside a game),"I am currently utilizing this in a platform-independent manner, primarily for the purpose of loading avatar images within a game I'm working on.",
That stories crap is one of the main reasons i migrated from YouTube don't make me go back to YouTube and speak for yourself when assuming everybody wants this feature,"The implementation of the story feature was a significant factor that drove me away from YouTube. Please refrain from making generalizations about everyone desiring this feature. As for me, I would rather not have to amount to returning to YouTube due to similar changes here.",
"FWIW, I tried it on Windows and both work, but it definitely makes sense to go with what Microsoft says is right for their OS.","For what it's worth, I have personally tried it on Windows and found that both options function. However, it might indeed be more sensible to follow Microsoft's recommendation for their own operating system.",
Every day of my life is a vacation.,I feel really fortunate that my daily life feels like a holiday.,
"Nevermind, it was a reverse proxy issue.",It appears that the issue was related to a reverse proxy. No need to worry about it any longer.,
"Sorry about that. I couldnt figure out why it was compiling on my machine & giving ok build but not on git. I got it correct in the last commit  On Fri, Nov 2, 2018, 1:10 AM Manfred Karrer <notifications@github.com wrote:  > Man, you produce commits like hell.... Whats going on? > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/bisq-network/bisq/pull/1856#issuecomment-435272806>, > or mute the thread > <https://github.co","I apologize for the confusion previously. I was having difficulty understanding why the code was compiling without issues on my machine, but presenting errors on git. Thankfully, I managed to rectify the problem in the last commit.  

In response to your comment, Mr. Karrer, I can assure you that my frequent commits are merely a reflection of my dedication to the project. My intention is to ensure that the work is done smoothly and efficiently. I'm open to any suggestions or feedback you may have about my methodology. Your perspectives are always valued.

Sent: Friday, November 2, 2018, 1:10 AM
From: ""Manfred Karrer"" <notifications@github.com> 
Subject: : You're committing at quite a rate... What's happening?

P.S. You have received this message since you authored the thread. You may reply to this email directly, view or mute the thread on GitHub via the provided links.",
"+1, it's annoying","I agree with you, it can be quite bothersome.",
"numbers cannot be mapped to a double datatype using match_mapping_type.  That part probably needs clarification though I'm not sure how to do it. Basically, the json parser assumes the wider datatype that is not a BigDecimal/BigInteger. So floating-point numbers will be detected as a `double` rather than a `float` and integers will be detected as a `long` rather than an `integer`. You can dynamically map floating-point numbers to doubles by using `double` as a `match_mapping_type` and `double` as a type i","I believe there may be some lack of clarity regarding the mapping of numbers to a double datatype using match_mapping_type. It's quite complex, so let me try to explain it a bit more clearly. The json parser often defaults to the broader datatype that isn't a BigDecimal/BigInteger, thus resulting in floating-point numbers being detected as a `double` rather than a `float`, and integers being identified as a `long` rather than an `integer`. Yet, you can dynamically map floating-point numbers to doubles by employing `double` as both a `match_mapping_type` and type.",
" as deliberate DOS and opportunisitc eavesdropping by anyone who can spoof email addresses.  Authors of the standard say its security depends on a working spam filter - does that sound like strong security? Wild guess.. pretty soon spammers will start inserting fake autocrypt headers to improve ham/spam score of their messages.   Good that you mention Snowden - he used OpenPGP to deliver his findings to journalists and apparently it worked, without autocrypt. And it is a nice reading how he did it. Good s","It's interesting that there seems to be a potential for deliberate Denial of Service and the possibility for those who can counterfeit email addresses to take advantage of eavesdropping. The authors of the standard mention that the security effectiveness rests on a properly functioning spam filter, which brings into question how durable that security really is. 

It's plausible to predict that in the near future spammers might begin to adopt the strategy of infusing counterfeit autocrypt headers to enhance their ham/spam message scores. 

You duly noted Snowden - indeed it's worth mentioning that he used OpenPGP to deliver his findings to journalists, quite successfully I might add, completely independent of autocrypt. It indeed serves as fascinating reading detailing how he accomplished this without autocrypt. A good point well made.",
"I've noted that when you get the message that you have attempted to register too many times, the system usually ""resets"" and lets you try after an hour or so. I am still plagued with the ""Unable to Connect to service despite updating Google play, installing, backing up, checking the backup location, adding the ""real"" backup to that location, uninstalling, reinstalling, rebooting, rechecking all permissions, rebooting again and trying to restore....   If you get all that then you know where I have been....","I've observed that, in general, when the system notifies you of too many registration attempts, it sometimes self-corrects by allowing you to try again after an hour or so. 

Currently, I'm still running into the issue of ""Unable to Connect to the service."" This is despite having updated Google Play, installed, backed up, examined the backup location, added the ""real"" backup to that spot, uninstalled and reinstalled, restarted my system twice, and checked all permissions. I've also attempted to restore. 

If you've followed along with all those steps, then you might have a good understanding of the process I've gone through.",
Rearly. I've encountered some other problems related to audio playing. The only auido player that works for me so far is VLC. So I think (as in most cases) It's just that damn android again.,"Occasionally, I've come across a few issues related to audio playback. So far, only the VLC player seems to work well for me. As such, I believe it might be an android-related issue in most instances.",
without issues.,It proceeded smoothly without any problems.,
"= TEST, numDataNodes = 2) +@ESIntegTestCase.ClusterScope(scope = TEST, numDataNodes = 0, autoManageMasterNodes = false)  public class ClusterStateApplierOrderingTests extends BaseSearchableSnapshotsIntegTestCase {       public void testRepositoriesServiceClusterStateApplierIsCalledBeforeIndicesClusterStateService() throws Exception { +        internalCluster().setBootstrapMasterNodeIndex(0); +        internalCluster().startNodes(2); +          final String fsRepoName = ""fsrepo"";          final String inde","This comment pertains to a test in the ClusterStateApplierOrderingTests class, which extends from the BaseSearchableSnapshotsIntegTestCase class. We're looking specifically at the testRepositoriesServiceClusterStateApplierIsCalledBeforeIndicesClusterStateService method. It appears that ESIntegTestCase.ClusterScope, scope = TEST, numDataNodes = 2 is used first, then ESIntegTestCase.ClusterScope, scope = TEST, numDataNodes = 0, autoManageMasterNodes = false is applied next. After that, the internalCluster().setBootstrapMasterNodeIndex(0); and internalCluster().startNodes(2); actions are proceeded to. Finally, the fsRepoName is named as 'fsrepo.'",
" [<none> -> pulsar://localhost:6650] Failed to establish connection: Connection refused  even the simple one gives the same error:  consumer = client.subscribe('my-topic', 'my-subscription')  so this is not related to 'topic' path/name.  It crashes at this line inside:     c._consumer = self._client.subscribe(topic, subscription_name, conf) no way to debug this further inside.  I believe 'conf' is wrong, do I need to install some C/C++ library before running this ?  Gurgen","Dear All,

I am reaching out to you in need of some guidance. Recently, I have been experiencing some challenges in establishing a connection. This is specifically with: [none -> pulsar://localhost:6650]. Unfortunately, my efforts to resolve the issue have been unfruitful as I keep getting a ""Connection Refused"" message. 

In an attempt to iron things out, I tried to implement a relatively simpler command, which is, ""consumer = client.subscribe('my-topic', 'my-subscription')"". However, the same issue persistently arises. Interestingly, the problem doesn't seem to be related to the 'topic' path/name.

Upon a closer look into the underpinnings, I noticed the program falters at this particular command line: ""c._consumer = self._client.subscribe(topic, subscription_name, conf)"". Alarmingly, there seems to be no option available to debug this issue from within.

Upon careful thought, I suspect that the 'conf' might be the real troublemaker here. That said, perhaps some external help could suffice. I am therefore wondering, is it necessary to install a particular C/C++ library before executing this procedure?

Looking forward to your feedback and assistance on this matter. 

Kind regards,
Gurgen",
" where the temporary directory will now be `elasticsearch.XXXXXXX.<eight random characters>`. That's ugly, and macOS is so popular a development platform I would not want to do that.  Given a workaround exists, and we don't want to take on code for unsupported platforms, I am going to close this pull request.","The temporary directory will now be `elasticsearch.XXXXXXX.<eight random characters>`. While it's not ideal, let's remember macOS is a common development platform. Considering there is an existing workaround and we're committed to avoiding code for unsupported platforms, I believe it's in our best interest to respectfully close this pull request.",
"I am able to reproduce this now:  1. user sends a message to your group: you will hear the group sound (as expected) 2. user sends a message directly to you: you will hear the user's sound (as expected) 3. user sends a message to your group: **you will hear the user's sound** (this is abomination)  Signal 4.33.5, Android Pie","I can confirm the occurrence of the following sequence: 

1. If a user sends a message to your group, you will hear the group sound. This is as expected and appropriate. 
2. When a user sends a message directly to you, correctly so, you will hear the user's sound. 
3. However, when a user sends a message to your group, it has caused the unexpected result of hearing the user's sound. I find this rather at odds with the expected outcome. 

This is taking place on Signal 4.33.5, Android Pie.",
Damn - I still see this issue in Android 5.1.1,I've noticed that the issue still persists in Android 5.1.1.,
" some usage impediment. Are you sure you want them to not have a chance to understand what they're doing at least at the level at which a decent threat model wizard could explain it?)  It doesn't even have to be a startup wizard - you can keep just the ""revolution vs. casual texing"" question at the startup and put the threat model wizard right in the Settings menu - so the Security section of the Settings menu wouldn't just show you all the detailed options directly but ask you first if you know what you'","There seems to be some difficulty in usage. Are you certain you want to prevent users from fully comprehending their actions, a level of understanding that even an average threat model guide could facilitate? It’s not necessary to have a startup guide - you can simply include the ""revolution vs. casual texting"" prompt at the start and position the threat model guide directly within the Settings menu. This way, the Security segment of the Settings menu wouldn't immediately display all detailed options, but would first inquire about your familiarity with them.",
"Thanks for the detailed bug report!!! You can send me the log file (manfred at bitsquare dot io) together with trade ID and txIds.  It looks that the dispute payout tx was not successful and need to be redone manually. No worry no fund ever lost. I would recommend after we have resolved that to start over with a new app and new data directory, seems there are some database files screwed up. You can export your payment accounts and re-import them. See http","Thank you very much for your thorough bug report. It would be helpful if you could send me the log file at manfred@bitsquare.io, along with the relevant Trade ID and txIds. From initial inspection, it seems the dispute payout transaction did not process successfully and we'll have to manually reattempt it. Rest assured, no funds are ever lost in this process. 

Once we resolve this issue, I suggest re-initiating with a fresh application and new data directory for an optimal experience. It appears there might be some inconsistencies with the current database files. However, you can easily export your payment accounts and import them back in. Kindly refer to this [link] for guidance.",
"@user I have not tested the issue with Linux, but you can try a few other things: - increase window size, - add more arrays & allocations, - decrease allocation size (curiously, a 10 times larger array than what's in the example works fine).  If you have a modern machine, it might be able to handle a lot more & faster than mine. Generally try doing something time consuming after `size()`. Another example:  ``` java void setup() {   size(600, 600);   // fix: ellipse(100, 100, 50, 50);   loadPixels();   upd","@user While I haven't had the chance to perform testing on Linux, there are a few other strategies you could explore. You might increase the window size, introduce additional arrays and allocations, or even reduce the allocation size. Interestingly, I've noticed that an array ten times larger than the one in the example seems to function well. If you're utilizing a modern machine, it's quite possible that it may be more capable and faster than mine. As a general practice, it could be advantageous to execute a time-consuming task following the `size()`. Here's a different example for your reference:

```java
void setup() {
  size(600, 600); 
  // Fixed: ellipse(100, 100, 50, 50); 
  loadPixels();
```
Please update me with any progress or questions you may have.",
I suppose YouTube changed something in its page layout.,I believe YouTube may have made some alterations to their page layout.,
It isn't supposed to.,The intention wasn't for it to perform in that particular way.,
"FWIW, I've been testing my app on Genymotion, Galaxy Nexus and S4 today and haven't seen the bug at all. They're all 4.x devices though.","For what it's worth, I wanted to share that I have been conducting tests on my application using Genymotion, Galaxy Nexus, and S4 today, and I haven't encountered the mentioned bug. It's possible that the absence of the issue may be associated with the fact that all these devices are operating on the 4.x version.",
I end up with multiple slots on my shiny server and have to add the same people every time. With this many people it is getting incredibly inconvenient.,"I find myself repeatedly adding the same individuals across multiple slots on my shiny server. Given the volume of people, this process is gradually becoming more time-consuming and less manageable.",
What a shame :(,"It's truly unfortunate, isn't it?",
"oh man, jar hell? I guess you should enable jarhell checks in your app. I will use this as an example for everybody complaining in the future.",It seems like you're experiencing some issues related to Jar Hell. It may be beneficial to enable Jar Hell checks within your application. This could serve as a valuable example for anyone else who encounters similar issues in the future.,
"I think we're at the mercy of gstreamer here, it's not something we can fix.","I believe we might be subject to the limitations of Gstreamer in this case, and unfortunately, it's something beyond our ability to rectify.",
holy f*ck  this issues opened on 21 Dec 2015 and no import from csv to database ( (3 years gone),"I can't help but notice that this issue was first brought up on the 21st of December 2015 and there is still no import from CSV to the database, that's over three years ago.",
" there is no real need for Test scope in 99% of the cases so in upcoming version this might be the way to go. For instance all our REST tests run against such a cluster, they are way more reliable than all other tests.","In most scenarios, about 99% I'd say, there doesn't seem to be a significant need for Test scope. Therefore, in our forthcoming versions, it could be beneficial to adopt a different approach. For example, our current REST tests operate on such a cluster and have proven to be more reliable than other tests.",
I just tested the same thing on `demo.thingsboard.io` and can not reproduce the problem. A diff between v2.5.2 and develop/3.1 shows no changes to anything CoAP related. Wtf?,"I've recently conducted a similar test on `demo.thingsboard.io` and was unable to duplicate the issue. Additionally, a comparison between v2.5.2 and develop/3.1 demonstrates no modifications in relation to anything CoAP related. Could you explain this further?",
-1 to enable by default. That's horrible!,"While I respect the decision to enable by default, I must express my reservations about the potential repercussions this might have.",
Using sleep not the best solution whenever in my cases it won't work 100% in all cases. I have tried out lots of different workaround and no one worked for me well. That is real pain in the ass as we heavily use this component.,"While sleep might seem like a conceivable solution, unfortunately, it's not always effective and consistent in all situations based on my experiences. I have explored various alternative solutions but have yet to find one that adequately solves the issue. This predicament is indeed quite challenging, especially given the extensive use of this component.",
"sorry to paraphrase what you said; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards, which is pointless and we should prevent this?  a naive/ugly approach would be to check that the primary's response version is the requested version and therefore that a change happened, erm I'll look into it now.","My apologies for revising your statement, but I believe you mean to say that since no exceptions are being thrown during the operation on the primary shard, it’s likely we're duplicating this operation on the replica shards unnecessarily. It might be beneficial for us to prevent this. A straightforward, perhaps slightly simplistic, method could be to verify that the primary's response version matches the requested version, which would indicate a change took place. I'll further consider this approach shortly.",
"rd Indicator and it's features (i.a. full text search), so I didn't bother testing other clipboard managers.  But if I can test something specifically to help resolve this issue, let me know!","I'm aware of the rd Indicator and its features, notably the full text search. This led me to not explore other clipboard managers. However, if there's anything specific you'd like me to test to assist in resolving this issue, kindly let me know.",
Looks like you're ready to open a PR!,It seems to me that you are prepared to open a Pull Request! Isn't that correct?,
"stalled. - `craptube-name.jar`: The extension name is different from the service name, so it should fail after having accepted installation. - `craptube.jar`: It now has even more `CRAP`.  Please keep this version installed and add subscriptions and remote playlists from various services. When I post the next version, it will have a different DB scheme, so the migration for that should be tested.","The installation has been paused due to the extension-name, 'unusualname.jar', as it differs from the service name, which could lead to a failure following the completion of the installation. Also, 'unusalname.jar' appears to have additional unfamiliar elements. I kindly suggest keeping this version installed and expanding your subscriptions and remote playlists from various services for the time being. Moving forward, the next version will likely embody a different database structure, and hence, its migration testing will be essential.",
"my hardware to bigger numbers but i don't need it.  After 24h, when some of the documents with the same ID comes in, the performance drops miserably to 500 documents per second, even less, then the CPU skyrockets and iowait sucks most of my resources. I tried changing the batch size, the threads, but no solution found.  I wanted to underline that you don't need duplicate documents in the same bulk request to trigger this ugly performance issue. You just need to update a few existing documents per request ","I would like to share that I've increased my hardware capacity to manage larger numbers, however, I'm not seeing the need for it at the moment. I've noticed that after a period of 24 hours, whenever duplicate documents bearing the same ID come in, the performance regrettably decreases to processing around 500 documents per second or even less. Subsequently, the CPU usage dramatically increases, while 'iowait' recommendations seem to consume the majority of my resources. Efforts to remedy the situation, including altering the batch size and adjusting threads, have unfortunately yielded no solutions. 

I feel it's important to emphasize that you don't necessarily require duplicate documents within the same bulk request to trigger this performance issue. Rather, it appears that just updating a few existing documents per request is sufficient to initiate it.",
