uncivil,civil,is_toxic
"my hardware to bigger numbers but i don't need it.  After 24h, when some of the documents with the same ID comes in, the performance drops miserably to 500 documents per second, even less, then the CPU skyrockets and iowait sucks most of my resources. I tried changing the batch size, the threads, but no solution found.  I wanted to underline that you don't need duplicate documents in the same bulk request to trigger this ugly performance issue. You just need to update a few existing documents per request ","my hardware to bigger numbers but i don't need it.  After 24h,",0
"where?  This is the best I could find...   * no official helpdocs for endusers whatsoever == http  * github-based quasi-official helpdocs give no detailed instructions whatsoever == http  * 2017 tacitly-official comment by moxie0 says to try googling(tm) to learn how == http   * 2018 unofficial-comment with SOMEWHAT detailed instructions == http  (""open a command prompt"" is not really aimed at the everyday enduser from the whatsapp crowd however!)  * 2014 unofficial-commentTwo with significantly different","where? This is the best I could find, no official helpdocs for endusers",0
githubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png) ...Then I ractivated the realtime protection. And it's allright. Damn Windows !,githubusercontent.com/5811393/41500883-7e68a,0
uments in a log-like file for ECS.  Hope this rambling make sense. Thank you for the valuable input!,uments in a log-like file for ECS.  Hope this rambling make,0
I'm afraid I didn't understand your comment.,I'm afraid I didn't understand your comment.,0
Closing.  The PR contains changes from multiple branches...I hate Git.,Closing. The PR contains changes from multiple branches.,0
"t behavior from ""hey everyone that person you have stored in your addressbook for some possibly creepy reason is now on Signal! Creep them out!"" to that stalker having to [look up on WikiHow](https://www.wikihow.com/Know-if-a-Contact-Is-Using-Signal) a way to spy.  I cannot find a single open one that speaks to this at all, though i do understand that ending the functional directory of Signal users is a goal: http (though that's so focused on the technical, hiding stuff from your own phone, that i'm still","t behavior from ""hey everyone that person you have stored in your addressbook for some",0
I don't think we're ever going to get more info.,I don't think we're ever going to get more info.,0
"Damn paper trail. Sometimes, when I'm alone in the dark, I like to break all the things.",I like to break all the things.,0
"tty common nowadays). Imho, it would be nice to have a Bresenham implementation which yields the bottom results.",It would be nice to have a Bresenham implementation which yields the bottom results,0
relevant reading material:  http http  looks like there is a fix but pretty ugly,relevant reading material:  http http  looks like there is a fix but pretty ugly,0
the less maven the better,the less maven the better,0
"I disagree on anything looking outdated in v 5.6*. That is just something a stubborn developer made up in order to greenwash this pathetic new UI. Nobody with a brain actually using email would prefer this garbage over the older look. It's not opinion, it's fact. It's over for k9. Someone should fork the older code, insert the back-end upgrades and release a truely new version under a new name, not this disaster of a 'redesign'.",I disagree on anything looking outdated in v 5.6. That is just something a,0
"> NACK lack of code formatting.  Hi, fixed and squashed.",NACK lack of code formatting.,0
Yuuuup,Yuuuup,0
"@user damn, you right.. the first command that works is  ``` colttt@graylog ~ # echo '{""version"": ""1.1"",""host"":""example.org"",""short_message"":""A short message that helps you identify what is going on"",""full_message"":""Backtrace here\n\nmore stuff"",""level"":1,""_user_id"":9001,""_some_info"":""foo"",""_some_env_var"":""bar""}' | nc -w 1 -u syslog.example.de 12200  ```","@user, you right.. the first command that works is  ```",0
"@user the stars are just decoration. I thought it would look better. Tho i don't have an Idea how to style up the header.  However I thought about letting the user decide what he wants yo see on his main page, so instead of just letting him see a kiosk we could add something to the settings so he can set a channel/the channel view/feed/blank page/ or kiosk.  Now i would like to list the available kiosks in the dropdownmenue. (Not as separate fragments).  Also as headline of the main page id like to put th",@user the stars are just decoration.,0
"e row being animated. That wasn't very smooth and also had some strange issues like the list position going whack after opening the keyboard.  However, I found that setting a delay on the animation startup makes it somewhat less jarring. That way the empty space will first appear and the animation will come in a little later, instead of both things happening at once. It's not perfect but it's the best I can come up with.  Since the amount of ""bounce"" in the `OvershootInterpolator` can be configured, I tri",e row being animated. That wasn't very smooth and also had some strange issues like,0
"imply a burst of 500 MB transfer in 10s for instance if you set 1 MB of limit (so 500s).  What kind of example do you have ? Moreover, what version do you use (since this traffic was improve/corrected in the last versions 3.9, 4.0 4.1, and Master) ?",imply a burst of 500 MB transfer in 10s for instance if you set 1,0
The next days it will be released. I want to get the windows code signing in as well... still waiting for the damn cert....,The next days it will be released. I want to get the windows code signing in,0
"ion. Alternatively, idea.no.launcher=true can be set in the idea.properties file which can be accessed under Help > Edit Custom Properties (this will require a restart of IDEA). For IDEA 2017.3 and above, in addition to the JVM option, you will need to go to Run->Edit Configurations->...->Defaults->JUnit and verify that the Shorten command line setting is set to user-local default: none. You may also need to remove ant-javafx.jar from your classpath if that is reported as a source of jar hell.  To run an ","ion. Alternatively, idea.no.launcher=true can be set in the",0
"Has there been any progress on this? I'm now in the midst of my third ES implementation and this is the third time this issue came up :)  Is http related? It bears the name ""Changes API"" but seems to resemble something else (notifications for outside ES?).  Currently I'm planning to have an alias for writing pointing to multiple indices but doing the writes manually by: - read the aliases to figure out to which indices it points - write to all these indices in a loop  The nasty things here are: - every ti",Has there been any progress on this? I'm now in the midst of my third,0
"> I tried the same thing when VPN is off, still same thing. Tested it without vpn again and this time with google play, and sure than it does work. So this is an google play issie, signal is forcing users to use google play services, like they also do with the standalone apk that lacks updates. So now i have 2 options, one is to spread my butcheeks and install google gay services, and the other one is to have a broken app. Did China or Russie take signal over that we are not aware off? Because the only op","I tried the same thing when VPN is off, still same thing. Tested it",0
"Those self-closing tags are the result of the smart-ass ""copy HTML"" function of the browser, they are actually closed as they should (i.e. <span></span>), will edit it later when I can (the whole document is far too large to be a viable option).  I know the xpath is horrendous, but it can't any other way (trust me on that), neither is that the point here. The app is not in my control, and most of the html is dynamically generated.","Those self-closing tags are the result of the ""copy HTML"" function of",0
hahahaha  awesome.,hahahaha  awesome,0
"Ugh, in sanity testing I've discovered that `/etc/suse-release` is only a thing on ""real"" SuSE (not openSuSE). PR on hold until I figure out the correct test.","Ugh, in sanity testing I've discovered that `/etc/suse-",0
"I used BTC for the trade fees.  Where do I see my onion address? I see only ""makers onion address"" during the process. Isn't asking for this public-ally compromising peoples anonymity? I mean I throw mine away by enabling all those insecure network settings so I can as well post that, went back to default network settings but it bothers me how you claim Bisq for such great privacy and they you ask people for all their logs and info in a fucking M$ owned public platform. So people who want to help fix your",I used BTC for the trade fees. Where do I see my onion address,0
@user yes we can close this one in favor of http sorry @user I screwed up,@user yes we can close this one in favor of http sorry,0
"@user This still regularly happens for me, so I would argue this needs to be reopened. It's the worst bug I've experienced with Signal by far because it makes some conversations near unreadable on mobile and screws up the backup.","@user This still regularly happens for me, so I would argue this needs to be",0
asble signatures. How is that a bad user experience?  > Reply to this email directly or view it on GitHub: > http,asble signatures. How is that a bad user experience?  > Reply to this,0
Yes.  I have an uncommitted change on my laptop that removes analyzer.Type type.Type.  ColumnType is a different beast and will take a lot more work to remove.,Yes. I have an uncommitted change on my laptop that removes analyzer.Type,0
5 22:24   plugin-descriptor.properties      14573  09-07-15 22:27   repository-hdfs-3.0.0-SNAPSHOT.jar     592008  06-18-15 17:27   http     282793  06-18-15 17:27   http      62050  01-19-15 09:24   commons-logging-1.1.3.jar   --------                   -------     953868                   5 files ```,5 22:24,0
I'm so sorry -> I'm a complete dumbass.  We distribute the org.jkiss.dbeaver.core.prefs from a central server to all clients and at some point someone added statement.invalidate.before.execute=true which causes disconnects on every execution.  I seriously didn't know such an option exists.,I seriously didn't know such an option exists.,0
so bad,so bad,0
It would be so good to have a usable documentation AND REPL somewhere. Writing painless scripts is like pain in the ass now. :(,It would be so good to have a usable documentation and REPL somewhere.,0
Fuck you for being so fucking dismissive and useless,I don't like you for being so dismissive.,0
"> What about using .openapi-generator-ignore to have complete control on what files to skip during code generation?  I think it would not work. Documentation says :  > create a file named .openapi-generator-ignore in the root of the output directory with the contents  When doing a **sbt clean**, the output directory of openapi is deleted, meaning my .openapi-generator-ignore would also be deleted. In addition of that, adding a target / generated / build directory in VCS would be a bad practice, and I don'",What about using.openapi-generator-ignore to have complete control on what,0
That's a bug in your code,That's a bug in your code.,0
"Come on, Travis, you can do it!","Come on, Travis, you can do it!",0
Seems to have worked now several times. Hopefully I didn't crap on rocket's performance by my code too badly.,Seems to have worked now several times,0
Creating a connection just to be able to import a CSV as data into a database is fraught with problems and is frankly a total pain in the butt.  No other DB or CRM management tool in the world requires that much work to simply load a CSV.  This is a deal breaker feature for me because the process of creating a connection for flat files always fails and is not portable (have to do it everywhere I use the tool and it's unique to the machine since the source is local).,Creating a connection just to be able to import a CSV as data into a database is,0
"``` Crap! Using the same client and the demo.bigbluebutton server, the bug is not reproducable :( So it must be something with an Ubuntu Client and an Ubuntu server ```  Reported by `derarnold@web.de` on 2011-01-14 11:46:30","Wow! Using the same client and the demo.bigbluebutton server, the bug",0
ooh nevermind then I didn't see your latest reply!!!,oh nevermind then I didn't see your latest reply,0
I hate the idea of adding another UI setting. But having the option to turn off support for stars entirely doesn't sound too bad.,I hate the idea of adding another UI setting. But having the option to turn off,0
"Damn the build is failing because the material dialogs author @user has deleted the release from bintray...  This isn't the first time it's happened either, we should probably consider trying to get rid of this dependency.  It looks like we'll need to update the library version and add jitpack as a repository: http  Updating the library version probably requires us to update to SDK 23 though, which will also break the Travis CI build",the build is failing because the material dialogs author @user has deleted the release from,0
"Mail classes are likely to be loaded at server level and thus will have only one default mapping.  Alternatively, we can allow developers to configure a set of mime type mappings in their config files which Spring will use on a message-by-message basis and thus will not impact on anything that J2EE servers do to the overall JavaMail framework. Using this mechanism I can merge the defaults into the per-message context, so anyone who wants to use a mime.types file can and anyone who doesn't will simply get ",Mail classes are likely to be loaded at server level and thus will have only one default,0
"Thank god, i thought i was going crazy. Happens to me when i use navigation and my Bluetooth headset on the motorbike.","Thank god, I thought I was going crazy. Happens to me when I use",0
"@user It's bad news for us, unfortunately, but we'll try to somehow avoid the jar hell problem, thank you for your effort and time!","@user It's bad news for us, unfortunately, but we'll try to somehow",0
ch.java:166) [elasticsearch-7.16.1.jar:7.16.1] at org.elasticsearch.bootstrap.Elasticsearch.execute(Elasticsearch.java:157) [elasticsearch-7.16.1.jar:7.16.1] at org.elasticsearch.cli.EnvironmentAwareCommand.execute(EnvironmentAwareCommand.java:77) [elasticsearch-7.16.1.jar:7.16.1] ,ch.java:166),0
"@user I didnt know you trying to use ""documents"" to protect you from the world. I would'nt pull again.  Anyway you can't protect yourself using this technique sign - and enter. I can prove I made this code having it before the code come to the repository, and since it get there without my sign it be equals staling code. So, sign or no sign - always possible to make you/google guilty and violating copyright slavery... Just make it simple, opensource and fun. BTW i'm not going to sue anyway. Just show you h","@user I didnt know you trying to use ""documents"" to protect you from",0
"re always subject of misuse, and even if the illegal copies are just online for a few days or weeks, they might generate enough revenue for the publisher, hence rendering any takedown pretty useless.  Here's a few options I thought about:    - We could add a constraint to the license forbidding any publishing on Google Play (and those Asian and Arabic  app stores) without consent of Team NewPipe's administrative board. This would be a measure that you could enforce legally, especially on Google Play (beca","re always subject of misuse, and even if the illegal copies are just online for a",0
"The uncontrolled notification is a horrible mis-feature. I don't care so much how it's done (I found it quickly in the FAQ) as the fact that it's done at all and I can't turn it off.   What if I don't want my contacts to know I am using Signal?  Scenario: I work in some high-flying place with a lot of paranoia, say the US White House. Anyone using Signal is immediately under suspicion of being a ""leaker"". Most of the people I work with are in each others' address books. When I install Signal, it alerts my",The uncontrolled notification is not good. I don't care so much how it's done,0
"""+1"" doesn't bring anything to the discussion, it's spam. When you post here, emails go out to many people. If everyone posted ""me too"", it would be chaos.  This project is OSS, if you really want something, it's best to show it by just implementing it.  On Mon, Feb 2, 2015 at 11:13 PM, vaxquis notifications@github.com wrote:  > hell, I would just cast my vote on this... _if there was a voting system > on GitHub_... >  > isaacs/github#9 http > isaacs/github#209 http >  > http >  > etc. ; that's why I stil","""+1"" doesn't bring anything to the discussion",0
"One **ugly** solution I thought is to create a new class and copy the content of `WebMvcTypeExcludeFilter` into it, and then use this insteadly.",One solution I thought is to create a new class and copy the content of `Web,0
"BTW, I have not read your responses to my comments yet.","BTW, I have not read your responses to my comments yet",0
"@user note, the mockup above doesn't include the new item ""See other viewers in the user's list"" [toggle butt]. We'll want to make sure that also gets added.","@user note, the mockup above doesn't include the new item ""See other",0
"Dude what the heck is wrong with u LOL. I just told you man, background player .. Click on that","What is wrong with you? I just told you man, background player. Click on",0
"arch.bootstrap.Elasticsearch.main(Elasticsearch.java:122) [elasticsearch-7.16.1.jar:7.16.1] 	at org.elasticsearch.bootstrap.Elasticsearch.main(Elasticsearch.java:80) [elasticsearch-7.16.1.jar:7.16.1] [2021-12-14T10:11:30,115][ERROR][o.e.b.ElasticsearchUncaughtExceptionHandler] [log] uncaught exception in thread [main] org.elasticsearch.bootstrap.StartupException: java.lang.IllegalStateException: jar hell! class: org.apache.logging.log4j.Logger jar1: /usr/share/elasticsearch/lib/log4j-api-2.16.0.jar jar2: ",arch.bootstrap.Elastic search.main(Elasticsearch.java:,0
"Ouch, messy indeed... Why not make a new platform called armv6hf and never distinguish between 32- and 64-bit? Technically it's Linux, but there's no need for it to be identified as ""Linux"" for the way that we use the platform code.   And why are all new JOGL binaries, for all platforms, added here?",Why not make a new platform called armv6hf and never distinguish between 32,0
Aren't you in a corporate network or under the firewall?,Aren't you in a corporate network or under the firewall?,0
"orrect. It should be 9 and only 9 and never anything else. I think ""a little later"" will always happen, but I don't want to count on it. This is why we shouldn't make the path ""myobject.province.id"" and it should just be ""myobject.province""  2) A more dangerous scenario is the province's changes being cascaded by the underlying database, which causes more checks that the developers has to make = MORE BLOAT. Let's say we change Ontario's id to 13. If Hibernate should decide that we really want this change ",It should be 9 and only 9 and never anything else.,0
 only audio plays. This behaviour is identical to what BackgroundPlayer do. What are you asking for?  If i will switch to backgroundPlayer then there will be an audio lag (between transition for loading audio) and user will can't switch to video next time he opens an app. And there will be two services running. And mainvideoplayer will need to setup binding with backgroundplayer. It will make things work bad. If you know how to make it good feel free to make commits.  >Please add an element to the setting,only audio plays. This behaviour is identical to what BackgroundPlayer do,0
