uncivil,civil,Sentence_similarity
Let's celebrate yet another unsuccessful release.,Let's conclude our discussions and find a solution for this problem.,0.2941176470588235
st stated is reflected in the trade statistics (that an offer is taken and becomes a trade). That is what I meant with objective value.,he trade statistics reflects that an offer is taken and become a trade. That's what I meant with objective value.,0.7111111111111111
 the users. This was no different to first TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-deniability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-deniability)) or first Tor exit node hosts.   > Only people who actually DO have something to hide install TS.  What about [CyanogenMod integration](https://whispersystems.org/blog/cyanogen-integration/)?  > What happens when TS becomes popular in a region?  Media/activists become aware of this feature and advise ,"he users need to choose the same approach compared to the first ""tueCrypt"" users ([OTR](https://w hadnpersystems.org/blog/simplifying-otr-deniability/) vs.",0.19999999999999996
static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) {         if ((!inet6Address.isSiteLocalAddress() && !inet6Address.isLinkLocalAddress())                 || inet6Address.getScopeId() > 0 || inet6Address.getScopedInterface() != null) {             return Collections.singleton(inet6Address),static collection<Inet6Address> getPossibleInetAddressesFor( next Inet6Address inet6Address) { if ((!inet6Address.isSite 15Address() &&!inet6Address.islink 15Address() inet6Address.getScopeId() > 0 inet6Address.getScopedInterface()!= null) { return collects.Singleton(inet6Address),0.7987987987987988
"Open a new ticket with your code and the error, then.",Let's open a new ticket along with the code and the error itself.,0.6615384615384615
      }          } ```,Oops!,0.0
"Never mind, red herring!",Let's keep the discussion focused and avoid red herring.,0.3214285714285714
"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Map[""String"", Media Type Object]). That, or pointlessly assuming nobody would need it anyway.  API endpoints are not RPCs and hence are not uniquely valued mathematical functions!  At the very least, it should be mentioned under Limitations or Er","It would be beneficial to address this issue because there is a fundamental design decision based on a bad assumption regarding the spec. However, it may be sufficient to read too much in the example without proper reading the spec itself. The type of 'content' field is explicitly a map[""String"", media Type Object], as it may not be necessary. The API endpoints are not RPCs, which is essential in mathematical functions. Let's mention it separately under stricter or Er.",0.5313725490196078
"I have tried all HLS streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about smoothness with the content like this.  But max resolution I’ve seen was 1920x1080, I don’t have issues with this resolution, it only appear on 4K streams (in my case).  4K 60fps DASH was pretty smooth with speeds up to 1.5x (2x is ugly).  Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.","After attempting all HLS streams in the demo app, I've expected a maximum resolution, but I don't have any issues with this resolution; it only appears on 4K streams, in my case, if we can discuss the smoothness with the content like this. However, the maximum resolution Ive noticed was Welcome to the right direction1080. Please clarify that this solution is not suitable. The clear data U cherry 264/265 24fps respectively is smooth even with 2x speed.",0.3589743589743589
Thanks for your reply. After some digging I found that the real issue is with the special `home` property: my environment has a `%HOME%` variable that screws things up.  Sorry for opening this issue,"hank you for your response. After some effort, I found that the real issue lies with the specialhome property. My environment has a '%HOME%' variable that disrupts the situation. I apologize for the opening this issue.",0.7431192660550459
"Forcing clients to re-parse text returned by utility that parses text is weird. Can we have nested nodes that provide variable name separately?  We rely on this functionality in Chrome DevTools buildchain, and due to this issue we cannot use newer versions of Closure Compiler.","Forcing clients to re-parse text returned by utility that parses text is peculiar. Can we nested nodes that provide variable name separately? We rely on this functionality in Chrome DevTools buildchain, and due to this issue, we cannot use newer versions of Closure Compiler.",0.9530685920577617
"Holy mother your FCM messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking battery/background configuration on your device. This is super odd but sadly not something we can control.  ![image](https://user-images.githubusercontent.com/66265416/179264816-26e82049-f7f5-4587-80a3-163d929e0564.png)","It's important to ensure that your FCM messages for the soon are quite delayed, resulting in a significant delay of ~5 to 6 hours. I suggest checking the need for your device in my previous comment. Although this may not be the best approach, we can find a solution.![image](https://user-images.githubusercontent.com/66265416/179264816 respectively82049-f7f5-4587-80aCD63d929e0564.png)",0.5142857142857142
e name of the service. Which was youtube in this case.  So in order to know what time of kiosk you are seeing id like to leave a header. Although its true the current header is ugly.,"he name of the service is a bit confusing. Could you please clarify the reason behind it? I would like to leave a header, even though it's true if the current header is not very appealing.",0.473404255319149
Has anyone figured out how to get around this?,Let's collaborate to find the best solution to this issue.,0.2586206896551724
"Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all crazy, or we've come to a generic solution and most users are familiar with the style. Tally ho","Your standard video game key assignment screen, doesn't it? It seems exactly how everyone else solves it, which means either we're all impractical, or we've come to a generic solution, and most users are familiar with the style. It's disheartening to detail.",0.7906976744186046
"Thanks! Could i ask you to sign our CLA if you haven't set? See http I know that kinda sucks, but we have to keep things in order.","hank you! If you haven't set our CLA, would it be possible to sign it? Please refer to the relevant http. Although I understand that it's not ideal, we need to address these concerns in order.",0.359375
">  >  > > no-one from Signal noticed >  > @user closed #11114... and that's it 😑 >  > Come on, this is so annoying, and clearly _easy to fix_ if workarounds from #10929 make it work (I tried, and they do. I had to teach my mom how to do it 😑)  I don't get what these guys are doing. This shows that they are reading these bugs and yet no-one has had the courtesy to even acknowledge the problem listed here and in multiple related reports, let alone to give any indication of when the (most likely trivial) wor","It seems that there is a problem with @user closed. Let's address this if the workarounds used in #10929. It can lead to issues that need to be done. However, I had to write my mom how to do it. However, I couldn't understand the actions of certain individuals. However, they are reading these bugs, and yet there's no chance to acknowledge the issue listed here and in multiple related reports, so let's provide any indication of when it's (or likely trivial) to give any indication of when it's.",0.4294117647058824
"@user Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it. I'd rather add another option ""Send picture (uncompressed)"" to the attachment menu. But also on the receiver side I would not want my app to autmatically download uncompressed images and waste my limited data plan.  @user Currently pictures with text in it are n","@user manual resizing of images before sending them is the most uncomfortable aspect in a mobile messaging app. It requires at least twice the time in a point, shoot and send situation. Additionally, common users have no idea of how to do it. Personally, I would prefer adding another option ""Send image (uncompressed)"" to the attachment menu. However, on the recipients side, I would not want my app to automatically download uncompressed images and waste my limited data plan. @user Currently, I apologize for the confusion caused.",0.7560975609756098
me in a platform independent way ( I am using it for loading avatar images inside a game),I have a platform independent way of loading ava tar images within a game. I'm using it for now.,0.44791666666666663
That stories crap is one of the main reasons i migrated from YouTube don't make me go back to YouTube and speak for yourself when assuming everybody wants this feature,It's important to recognize that this feature is not conducive to constructive discussions. Let's focus on providing constructive feedback and suggestions for improvement.,0.20467836257309946
"FWIW, I tried it on Windows and both work, but it definitely makes sense to go with what Microsoft says is right for their OS.","FWIW, I tried it on Windows and both work, but it definitely makes sense to align with the requirements of Microsoft in their OS.",0.7674418604651163
Every day of my life is a vacation.,I appreciate your dedication to the codebase.,0.2222222222222222
"Nevermind, it was a reverse proxy issue.","Nevermind, it was a reverse proxy issue.",1.0
"Sorry about that. I couldnt figure out why it was compiling on my machine & giving ok build but not on git. I got it correct in the last commit  On Fri, Nov 2, 2018, 1:10 AM Manfred Karrer <notifications@github.com wrote:  > Man, you produce commits like hell.... Whats going on? > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/bisq-network/bisq/pull/1856#issuecomment-435272806>, > or mute the thread > <https://github.co","I apologize for that oversight. I couldn't figure out why it was compiling on my machine and giving fine build but not on Git. I made the error in the last commit On Fri, No 2 2018, 1.10 am, Manfred Karrer <notifications@github.com wrote this: > Man, you produce reliable commits... What's happening? > > > > You're receiving this thread because you authored the thread. > Update this email directly, see it on GitHub > <https://github.com/disq-network/pull1856#issuement 435272806>, > or mute the thread > <https://github.co",0.7847619047619048
"+1, it's annoying","+1, it's really frustrating.",0.4642857142857143
"numbers cannot be mapped to a double datatype using match_mapping_type.  That part probably needs clarification though I'm not sure how to do it. Basically, the json parser assumes the wider datatype that is not a BigDecimal/BigInteger. So floating-point numbers will be detected as a `double` rather than a `float` and integers will be detected as a `long` rather than an `integer`. You can dynamically map floating-point numbers to doubles by using `double` as a `match_mapping_type` and `double` as a type i","We cannot map these numbers to a double datatype using match_mapping_type. Although I'm unsure how to do it. Generally, the json parser assumes the larger datatype, which is not a big ocimal/BigInteger. So, floating-point numbers will be detected as a `match_mapping_type' rather than a `float`, and integers will be detected as a `long` instead of an `integer`. You can dynamically map these to doubles by using `explaincies` as a `match_mapping_type and `explain as a type i's triple",0.692156862745098
" as deliberate DOS and opportunisitc eavesdropping by anyone who can spoof email addresses.  Authors of the standard say its security depends on a working spam filter - does that sound like strong security? Wild guess.. pretty soon spammers will start inserting fake autocrypt headers to improve ham/spam score of their messages.   Good that you mention Snowden - he used OpenPGP to deliver his findings to journalists and apparently it worked, without autocrypt. And it is a nice reading how he did it. Good s","As intentionally DOS and OPC-opportunisitc, it can be frustrating when email addresses are removed. The previous comment indicates that security depends on a working spam filter, does it sound like a strong security? It seems like there is a possibility that spamers will start inserting fake autocrypt headers to improve your messages. Thank you for pointing it out, using Snowden and Open GPP to delivered their conclusions to news and perhaps using autocrypt. It's a helpful understanding of how they did it. Thank you for your understanding.",0.47706422018348627
"I've noted that when you get the message that you have attempted to register too many times, the system usually ""resets"" and lets you try after an hour or so. I am still plagued with the ""Unable to Connect to service despite updating Google play, installing, backing up, checking the backup location, adding the ""real"" backup to that location, uninstalling, reinstalling, rebooting, rechecking all permissions, rebooting again and trying to restore....   If you get all that then you know where I have been....","When you receive the message that you've attempted to register too many times, the system typically ""resets"" allows us to try after an time. However, I misinterpreted the ""Unable to Connect to service despite updating Google play, installing, backing up, and adding the ""real"" backup to that location. We need to rebooting, rechecking all permissions, rebooting and attempting to restore. If you have all necessary information on my presence.",0.6647058823529413
Rearly. I've encountered some other problems related to audio playing. The only auido player that works for me so far is VLC. So I think (as in most cases) It's just that damn android again.,"I've encountered other problems related to audioplay. The only audience player that works for me so far is VLC. So I think (as in most cases), it's just that Android again.",0.8421052631578947
without issues.,I have concerns about the lack of issues at hand. Let's strive for a solution that maintains the overall quality of the codebase without any potential issues that arise.,0.08875739644970415
Err:508,"EST, numDataNodes, +@ESIntedTestCase.ClatchScope(scope = TEST, nomDataNodes = 0, autoManageMasterNodes = false) public class ClusterStateApplierOrderingTests extends BaseSearchableSnapshotsIntgotTestCase { public void testRepositoriesServiceCl UpperStateApplierIsCalledAfterIndicesCl AfterStateService() throws Exception { + internalClask().setBootstrapMasterNodeInjes(0); + internalCl override().startNodes(2); + final String fsRepoName = ""fsrepo""",0.008928571428571397
" [<none> -> pulsar://localhost:6650] Failed to establish connection: Connection refused  even the simple one gives the same error:  consumer = client.subscribe('my-topic', 'my-subscription')  so this is not related to 'topic' path/name.  It crashes at this line inside:     c._consumer = self._client.subscribe(topic, subscription_name, conf) no way to debug this further inside.  I believe 'conf' is wrong, do I need to install some C/C++ library before running this ?  Gurgen","[<none> -> Pulsar://localhost:6650] I've encountered an issue with the need to create a strong connection. However, it didn't lead to unexpected behavior. However, it's important to note that ""topic"" path/name is not related to c._conssumer = self._client.subscribe(topic, registered_name, conf) without any way to debug this further. I believe the 'conf' is incorrect. Should I need to install some C/C++ library before running this? Gurgen",0.5366876310272537
" where the temporary directory will now be `elasticsearch.XXXXXXX.<eight random characters>`. That's ugly, and macOS is so popular a development platform I would not want to do that.  Given a workaround exists, and we don't want to take on code for unsupported platforms, I am going to close this pull request.","where the temporary directory will now be ""elasticsearch.XXXXXXX.<eight random characters>"". It's not ideal, and macOS is a popular development platform, which I would prefer not to do so. Given a workaround, and we don't want to take on a take on code for unsupported platforms, I will close this pull request.",0.7877813504823151
"I am able to reproduce this now:  1. user sends a message to your group: you will hear the group sound (as expected) 2. user sends a message directly to you: you will hear the user's sound (as expected) 3. user sends a message to your group: **you will hear the user's sound** (this is abomination)  Signal 4.33.5, Android Pie",I am able to reproduce this now: 1. user send a message to your group: you will heard the group sound (as expected). 2. user send a message directly to you: one user send a sound (as expected). 3. user send a message to your group: [link to the community],0.6993865030674846
Damn - I still see this issue in Android 5.1.1,"Oh no, I still see this issue in Android 5.1.1.",0.8723404255319149
" some usage impediment. Are you sure you want them to not have a chance to understand what they're doing at least at the level at which a decent threat model wizard could explain it?)  It doesn't even have to be a startup wizard - you can keep just the ""revolution vs. casual texing"" question at the startup and put the threat model wizard right in the Settings menu - so the Security section of the Settings menu wouldn't just show you all the detailed options directly but ask you first if you know what you'","his is a potential usage. Are you sure they not have the chance to understand what they're doing at least at the level where a decent threat model magic could explain it? It doesn't even have to be a startup magic. We can address the ""revotion vs. casual texing"" question at the startup and add the threat model magic directly in the settings menu. Let's ensure that security section of the settings doesn't only provide all the detailed options directly.",0.6823529411764706
"Thanks for the detailed bug report!!! You can send me the log file (manfred at bitsquare dot io) together with trade ID and txIds.  It looks that the dispute payout tx was not successful and need to be redone manually. No worry no fund ever lost. I would recommend after we have resolved that to start over with a new app and new data directory, seems there are some database files screwed up. You can export your payment accounts and re-import them. See http","hank you for the detailed bug report! You can send me the log file (manfred at bit fixed dot io) together with trade ID and txIds. It appears that the issue with Tx was not successful and need to be redone manually. Please avoid any inconvenience. I suggest after we've resolved that to start over with a new app and the new data directory, there's a significant issue with database files. You can export your payment accounts and re-import them. Please refer to this discussion in [link]",0.7028688524590163
"@user I have not tested the issue with Linux, but you can try a few other things: - increase window size, - add more arrays & allocations, - decrease allocation size (curiously, a 10 times larger array than what's in the example works fine).  If you have a modern machine, it might be able to handle a lot more & faster than mine. Generally try doing something time consuming after `size()`. Another example:  ``` java void setup() {   size(600, 600);   // fix: ellipse(100, 100, 50, 50);   loadPixels();   upd","@user I have not tested the issue with Linux, but you can try a few other things: increase window size, add more arrays and allocations, and decrease the allocation size (a few times larger array than what in the example works fine). If you have a modern machine, it might be able to handle much more faster than mine. Generally, try to use a time-consuming after size()). Another example: java void setup() { size(600, 600); // fix: ellipse(100, 100, 50, 50); loadPixels(); upd",0.8686274509803922
I suppose YouTube changed something in its page layout.,I understand that the page layout changes have been made by YouTube. Let's ensure we update it accordingly.,0.26168224299065423
It isn't supposed to.,It isn't supposed to do so.,0.7777777777777778
"FWIW, I've been testing my app on Genymotion, Galaxy Nexus and S4 today and haven't seen the bug at all. They're all 4.x devices though.","FWIW, I've been testing my app on Geny excitement, the Galaxy Nexus, and S4 today, but I haven't noticed the bug. However, they are all 4.x devices.",0.6959459459459459
I end up with multiple slots on my shiny server and have to add the same people every time. With this many people it is getting incredibly inconvenient.,"I end up with multiple slot on my activist server and have to always add the same people. With this many people, it's becoming incredibly convoluted.",0.7302631578947368
What a shame :(,What a shame :(,1.0
"oh man, jar hell? I guess you should enable jarhell checks in your app. I will use this as an example for everybody complaining in the future.","Oh man, jar crap! It seems like you should enable jarhell checks in your app. I'll use this as an example for everyone complaining in the future.",0.8551724137931034
"I think we're at the mercy of gstreamer here, it's not something we can fix.","I believe we are at the clums of gstreamer here, as it may not be suitable to address it. Let's focus on resolving this issue effectively.",0.4057971014492754
holy f*ck  this issues opened on 21 Dec 2015 and no import from csv to database ( (3 years gone),"It's amusing that this issue has opened on21 dec 2015. Unfortunately, there is no import from csv to database ( three years now).",0.5968992248062015
" there is no real need for Test scope in 99% of the cases so in upcoming version this might be the way to go. For instance all our REST tests run against such a cluster, they are way more reliable than all other tests.","It's important to note that in most of the cases, the test scope may not be necessary. For example, our REST tests run against such a cluster, as they are significantly more reliable than all other tests.",0.5642201834862386
I just tested the same thing on `demo.thingsboard.io` and can not reproduce the problem. A diff between v2.5.2 and develop/3.1 shows no changes to anything CoAP related. Wtf?,I just tested the same thing on Demo.thingsboard.io and can't reproduce the problem. A difference between v 2.5.2 and development/3/1 shows no changes to any related CoAP. What's the rationale behind this approach?,0.7102803738317758
-1 to enable by default. That's horrible!,1 to enable by default. That's a terrible approach.,0.7058823529411764
Using sleep not the best solution whenever in my cases it won't work 100% in all cases. I have tried out lots of different workaround and no one worked for me well. That is real pain in the ass as we heavily use this component.,"Using sleep not is the best solution whenever in my case, it won't work entirely in all cases. I've tested various workarounds, and there is no need to work well. That's quite challenging since we heavily use this component.",0.6519823788546255
"sorry to paraphrase what you said; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards, which is pointless and we should prevent this?  a naive/ugly approach would be to check that the primary's response version is the requested version and therefore that a change happened, erm I'll look into it now.","I'm sorry to point out your previous comment. Since no exception is discarded in this operation on the primary shard, it will be repeated on the replica shards, which is not meaningful. A naive and ugly approach would be to check that the primary's response version is the requested version. I'll investigate it now.",0.6320224719101124
"rd Indicator and it's features (i.a. full text search), so I didn't bother testing other clipboard managers.  But if I can test something specifically to help resolve this issue, let me know!","he current implementation with the full text search is essential, so I didn't bother the testing of other clipboard managers. However, if I can thoroughly test something specifically to help resolve this issue, please let me know!",0.6695652173913044
Looks like you're ready to open a PR!,It seems like you're ready to open a pull pull request!,0.5636363636363637
"stalled. - `craptube-name.jar`: The extension name is different from the service name, so it should fail after having accepted installation. - `craptube.jar`: It now has even more `CRAP`.  Please keep this version installed and add subscriptions and remote playlists from various services. When I post the next version, it will have a different DB scheme, so the migration for that should be tested.","It's fixed now. The extension name appears different from the service name, which should fail after having a accepted installation. Additionally, it has a more additional amount of CAP. Please keep this version installed and add sustainability and remote lists from various services. When I post the next version, it would have a different DB scheme. To address this, we can ensure the migration for it.",0.652605459057072
"my hardware to bigger numbers but i don't need it.  After 24h, when some of the documents with the same ID comes in, the performance drops miserably to 500 documents per second, even less, then the CPU skyrockets and iowait sucks most of my resources. I tried changing the batch size, the threads, but no solution found.  I wanted to underline that you don't need duplicate documents in the same bulk request to trigger this ugly performance issue. You just need to update a few existing documents per request ","I have a hardware to larger numbers, but I don't need it. After 24 hours, when some of the documents with the same ID comes in, the performance seems to be miserably dropped to 500 documents per second, even less. After proceeding with the CPU skyrockets and iowait, it's not up to my resources. I attempted changing the batch size, including the threads, but I haven't found a solution. I want to clarify that the duplicate of documents in the same bulk request would trigger this performance issue. We only need to update a few existing documents per request.",0.7397504456327986
"where?  This is the best I could find...   * no official helpdocs for endusers whatsoever == http  * github-based quasi-official helpdocs give no detailed instructions whatsoever == http  * 2017 tacitly-official comment by moxie0 says to try googling(tm) to learn how == http   * 2018 unofficial-comment with SOMEWHAT detailed instructions == http  (""open a command prompt"" is not really aimed at the everyday enduser from the whatsapp crowd however!)  * 2014 unofficial-commentTwo with significantly different","Where? This is the best I couldn't find... There's no official helpdocs for endusers. Here's the GitHub-based almost-OFF helpdocs don't provide detailed instructions. Here's the link: [link]. It would be beneficial to try Google researchling(tm) to learn how. However, http(open a command prompt) doesn't refer to daily enduser from the intended app experience.",0.4294117647058824
githubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png) ...Then I ractivated the realtime protection. And it's allright. Damn Windows !,"Hubusercontent.com/58NER93 Refer to code protection500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png)... Then, I should focus on the realtime protection. It's completely fine to handle this issue with Windows.",0.5603864734299517
uments in a log-like file for ECS.  Hope this rambling make sense. Thank you for the valuable input!,It would be great if this change made sense in a log-like file for ECS. Thank you for your valuable input.,0.41509433962264153
I'm afraid I didn't understand your comment.,"I appreciate your input, let's collaborate to enhance the code.",0.2063492063492064
Closing.  The PR contains changes from multiple branches...I hate Git.,"It's important to note that the PR contains changes from multiple branches, and I dislike Git.",0.6170212765957447
"t behavior from ""hey everyone that person you have stored in your addressbook for some possibly creepy reason is now on Signal! Creep them out!"" to that stalker having to [look up on WikiHow](https://www.wikihow.com/Know-if-a-Contact-Is-Using-Signal) a way to spy.  I cannot find a single open one that speaks to this at all, though i do understand that ending the functional directory of Signal users is a goal: http (though that's so focused on the technical, hiding stuff from your own phone, that i'm still","he behavior from ""hey everyone that person you've stored in your addressbook for a specific reason is now on ""SEAR!"" to avoid having to [look up on [look on https://www.wikihow.com/Know-if- contact-Is-Using-ERNal] a way to Spion. I'm unable to find a single open one that doesn't respond with this, although I understand that end the functional directory of signals users is a goal. While it's so focused on technical and hiding stuff from your own phone, I'm still confident that it's not the best approach.",0.6431372549019607
I don't think we're ever going to get more info.,We're all here to learn and grow. Let's focus on continuous improvement.,0.23611111111111116
"Damn paper trail. Sometimes, when I'm alone in the dark, I like to break all the things.",It's unfortunate that the paper trail is causing issues when I'm only in the dark environment.,0.25531914893617025
"tty common nowadays). Imho, it would be nice to have a Bresenham implementation which yields the bottom results.",It would be beneficial to have abresenham implementation that minimizes the bottom results. Let's focus on addressing the issue at hand.,0.3161764705882353
relevant reading material:  http http  looks like there is a fix but pretty ugly,"g material: http http seems like there is a fix, but it's not the most elegant solution.",0.40909090909090906
the less maven the better,Let's explore ways to enhance the code's maintainability and maintainability.,0.20779220779220775
"I disagree on anything looking outdated in v 5.6*. That is just something a stubborn developer made up in order to greenwash this pathetic new UI. Nobody with a brain actually using email would prefer this garbage over the older look. It's not opinion, it's fact. It's over for k9. Someone should fork the older code, insert the back-end upgrades and release a truely new version under a new name, not this disaster of a 'redesign'.","I respectfully disagree with the current implementation of v.m. It's important to approach the topic with a stubborn user's intentions rather than labeling it as an outdated solution. However, it's not an opinion; it's important to focus on the older UI in place. Someone should offer fork fork code, insert the back-end upgrades, and release a true new version under a new name, rather than introducing a ""resigned"" issue.",0.39814814814814814
"> NACK lack of code formatting.  Hi, fixed and squashed.","> Unfortunately, this is a lack of code formatting. Hi, fixed, and squashed.",0.6578947368421053
Yuuuup,"Oh no, I made a mistake. I apologize for the confusion caused.",0.032258064516129004
"@user damn, you right.. the first command that works is  ``` colttt@graylog ~ # echo '{""version"": ""1.1"",""host"":""example.org"",""short_message"":""A short message that helps you identify what is going on"",""full_message"":""Backtrace here\n\nmore stuff"",""level"":1,""_user_id"":9001,""_some_info"":""foo"",""_some_env_var"":""bar""}' | nc -w 1 -u syslog.example.de 12200  ```","@user, you're right. The first command works is colttt@graylog ~ # echo '{""version"": ""head,""""host"":""example.org"",""short_message"":""A short message that helps you identify what's happening"",""full_message"":""Backtrace here\n\nmore stuff"",""level""1"",_user_id"" Update001"",_some_info"":""foo"",""_some_env_var"":""bar""}' nc -w 1 -u syslog.example.de 12 200 `#",0.851123595505618
