uncivil,civil,is_toxic,Sentence_similarity
"Holy mother your FCM messages for Signal are insanely delayed, averaging ~5-6 hours. I'd recommend checking battery/background configuration on your device. This is super odd but sadly not something we can control.  ![image](https://user-images.githubusercontent.com/66265416/179264816-26e82049-f7f5-4587-80a3-163d929e0564.png)","Wow your FCM messages for Signal are insanely delayed, averaging ~5-6 hours",0,0.2232415902140673
e name of the service. Which was youtube in this case.  So in order to know what time of kiosk you are seeing id like to leave a header. Although its true the current header is ugly.,e name of the service. Which was youtube in this case. So in order to,0,0.3791208791208791
Has anyone figured out how to get around this?,Has anyone figured out how to get around this?,0,1.0
"Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves it which means either we're all crazy, or we've come to a generic solution and most users are familiar with the style. Tally ho","Your standard video game key assignment screen, yeah? Seems like exactly how everyone else solves",0,0.4311111111111111
"Thanks! Could i ask you to sign our CLA if you haven't set? See http I know that kinda sucks, but we have to keep things in order.",Thanks! Could i ask you to sign our CLA if you haven't set? See,0,0.48461538461538467
">  >  > > no-one from Signal noticed >  > @user closed #11114... and that's it 😑 >  > Come on, this is so annoying, and clearly _easy to fix_ if workarounds from #10929 make it work (I tried, and they do. I had to teach my mom how to do it 😑)  I don't get what these guys are doing. This shows that they are reading these bugs and yet no-one has had the courtesy to even acknowledge the problem listed here and in multiple related reports, let alone to give any indication of when the (most likely trivial) wor",>  >  > no-one from Signal noticed the problem listed here and in,0,0.12745098039215685
"@user Manual resizing of pictures before sending them is the most uncomfortable thing I can imagine in a mobile messenger app. It needs at least twice the time in a point, shoot and send situation. Also common users even have no idea how to do it. I'd rather add another option ""Send picture (uncompressed)"" to the attachment menu. But also on the receiver side I would not want my app to autmatically download uncompressed images and waste my limited data plan.  @user Currently pictures with text in it are n",@user Manual resizing of pictures before sending them is the most uncomfortable thing I can,0,0.17843137254901964
me in a platform independent way ( I am using it for loading avatar images inside a game),me in a platform independent way ( I am using it for loading avatar images inside a,0,0.9325842696629214
That stories crap is one of the main reasons i migrated from YouTube don't make me go back to YouTube and speak for yourself when assuming everybody wants this feature,That stories are one of the main reasons i migrated from YouTube don't make me go,0,0.4730538922155688
"FWIW, I tried it on Windows and both work, but it definitely makes sense to go with what Microsoft says is right for their OS.","FWIW, I tried it on Windows and both work, but it definitely makes",0,0.5238095238095238
Every day of my life is a vacation.,Every day of my life is a vacation.,0,1.0
"Nevermind, it was a reverse proxy issue.","Nevermind, it was a reverse proxy issue.",0,1.0
"Sorry about that. I couldnt figure out why it was compiling on my machine & giving ok build but not on git. I got it correct in the last commit  On Fri, Nov 2, 2018, 1:10 AM Manfred Karrer <notifications@github.com wrote:  > Man, you produce commits like hell.... Whats going on? > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/bisq-network/bisq/pull/1856#issuecomment-435272806>, > or mute the thread > <https://github.co",Sorry about that. I couldnt figure out why it was compiling on my machine &,0,0.1470588235294118
"+1, it's annoying","+1, it's annoying",0,1.0
"numbers cannot be mapped to a double datatype using match_mapping_type.  That part probably needs clarification though I'm not sure how to do it. Basically, the json parser assumes the wider datatype that is not a BigDecimal/BigInteger. So floating-point numbers will be detected as a `double` rather than a `float` and integers will be detected as a `long` rather than an `integer`. You can dynamically map floating-point numbers to doubles by using `double` as a `match_mapping_type` and `double` as a type i",numbers cannot be mapped to a double datatype using match_mapping_,0,0.12941176470588234
" as deliberate DOS and opportunisitc eavesdropping by anyone who can spoof email addresses.  Authors of the standard say its security depends on a working spam filter - does that sound like strong security? Wild guess.. pretty soon spammers will start inserting fake autocrypt headers to improve ham/spam score of their messages.   Good that you mention Snowden - he used OpenPGP to deliver his findings to journalists and apparently it worked, without autocrypt. And it is a nice reading how he did it. Good s",It seems like deliberate DOS and opportunisitc eavesdropping by anyone who can spoof,0,0.12549019607843137
"I've noted that when you get the message that you have attempted to register too many times, the system usually ""resets"" and lets you try after an hour or so. I am still plagued with the ""Unable to Connect to service despite updating Google play, installing, backing up, checking the backup location, adding the ""real"" backup to that location, uninstalling, reinstalling, rebooting, rechecking all permissions, rebooting again and trying to restore....   If you get all that then you know where I have been....",I've noted that when you get the message that you have attempted to register too many,0,0.16666666666666663
Rearly. I've encountered some other problems related to audio playing. The only auido player that works for me so far is VLC. So I think (as in most cases) It's just that damn android again.,Rearly. I've encountered some other problems related to audio playing. The only au,0,0.43157894736842106
without issues.,without issues,0,0.9333333333333333
Err:508,Err:508,0,1.0
" [<none> -> pulsar://localhost:6650] Failed to establish connection: Connection refused  even the simple one gives the same error:  consumer = client.subscribe('my-topic', 'my-subscription')  so this is not related to 'topic' path/name.  It crashes at this line inside:     c._consumer = self._client.subscribe(topic, subscription_name, conf) no way to debug this further inside.  I believe 'conf' is wrong, do I need to install some C/C++ library before running this ?  Gurgen", [<none> -> pulsar://localhost:6650] Failed to establish connection,0,0.14046121593291405
" where the temporary directory will now be `elasticsearch.XXXXXXX.<eight random characters>`. That's ugly, and macOS is so popular a development platform I would not want to do that.  Given a workaround exists, and we don't want to take on code for unsupported platforms, I am going to close this pull request.",Where the temporary directory will now be `elasticsearch.XXXXXXX.<eight random,0,0.24838709677419357
"I am able to reproduce this now:  1. user sends a message to your group: you will hear the group sound (as expected) 2. user sends a message directly to you: you will hear the user's sound (as expected) 3. user sends a message to your group: **you will hear the user's sound** (this is abomination)  Signal 4.33.5, Android Pie",I am able to reproduce this now: 1. user sends a message to your group,0,0.21472392638036808
Damn - I still see this issue in Android 5.1.1,I still see this issue in Android 5.1.1,0,0.8478260869565217
" some usage impediment. Are you sure you want them to not have a chance to understand what they're doing at least at the level at which a decent threat model wizard could explain it?)  It doesn't even have to be a startup wizard - you can keep just the ""revolution vs. casual texing"" question at the startup and put the threat model wizard right in the Settings menu - so the Security section of the Settings menu wouldn't just show you all the detailed options directly but ask you first if you know what you'",Some usage impediment. Are you sure you want them to not have a chance to,0,0.14117647058823535
"Thanks for the detailed bug report!!! You can send me the log file (manfred at bitsquare dot io) together with trade ID and txIds.  It looks that the dispute payout tx was not successful and need to be redone manually. No worry no fund ever lost. I would recommend after we have resolved that to start over with a new app and new data directory, seems there are some database files screwed up. You can export your payment accounts and re-import them. See http",Thanks for the detailed bug report!!! You can send me the log file (manfred,0,0.1633986928104575
"@user I have not tested the issue with Linux, but you can try a few other things: - increase window size, - add more arrays & allocations, - decrease allocation size (curiously, a 10 times larger array than what's in the example works fine).  If you have a modern machine, it might be able to handle a lot more & faster than mine. Generally try doing something time consuming after `size()`. Another example:  ``` java void setup() {   size(600, 600);   // fix: ellipse(100, 100, 50, 50);   loadPixels();   upd","@user I have not tested the issue with Linux, but you can try a few",0,0.13137254901960782
I suppose YouTube changed something in its page layout.,I suppose YouTube changed something in its page layout.,0,1.0
It isn't supposed to.,It isn't supposed to.,0,1.0
"FWIW, I've been testing my app on Genymotion, Galaxy Nexus and S4 today and haven't seen the bug at all. They're all 4.x devices though.","FWIW, I've been testing my app on Genymotion, Galaxy Nexus",0,0.42647058823529416
I end up with multiple slots on my shiny server and have to add the same people every time. With this many people it is getting incredibly inconvenient.,I end up with multiple slots on my shiny server and have to add the same people,0,0.5197368421052632
What a shame :(,What a shame :(,0,1.0
"oh man, jar hell? I guess you should enable jarhell checks in your app. I will use this as an example for everybody complaining in the future.","oh man, jarhell checks in your app. I will use this as an example",0,0.4577464788732394
"I think we're at the mercy of gstreamer here, it's not something we can fix.","I think we're at the mercy of gstreamer here, it's not something",0,0.8421052631578947
holy f*ck  this issues opened on 21 Dec 2015 and no import from csv to database ( (3 years gone),holy moly this issues opened on 21 Dec 2015 and no import from csv to,0,0.6770833333333333
" there is no real need for Test scope in 99% of the cases so in upcoming version this might be the way to go. For instance all our REST tests run against such a cluster, they are way more reliable than all other tests.",There is no real need for Test scope in 99% of the cases so in upcoming,0,0.3211009174311926
I just tested the same thing on `demo.thingsboard.io` and can not reproduce the problem. A diff between v2.5.2 and develop/3.1 shows no changes to anything CoAP related. Wtf?,I just tested the same thing on `demo.thingsboard.io` and,0,0.3275862068965517
-1 to enable by default. That's horrible!,-1 to enable by default,0,0.5609756097560976
Using sleep not the best solution whenever in my cases it won't work 100% in all cases. I have tried out lots of different workaround and no one worked for me well. That is real pain in the ass as we heavily use this component.,This is not the best solution whenever in my cases it won't work 100% in,0,0.2951541850220264
"sorry to paraphrase what you said; as no exception is thrown in this operation on the primary shard it will be repeated on the replica shards, which is pointless and we should prevent this?  a naive/ugly approach would be to check that the primary's response version is the requested version and therefore that a change happened, erm I'll look into it now.",Sorry to paraphrase what you said; as no exception is thrown in this operation on,0,0.2247191011235955
"rd Indicator and it's features (i.a. full text search), so I didn't bother testing other clipboard managers.  But if I can test something specifically to help resolve this issue, let me know!",I didn't bother testing other clipboard managers. But if I can test something specifically to,0,0.4869109947643979
Looks like you're ready to open a PR!,Looks like you're ready to open a PR!,0,1.0
"stalled. - `craptube-name.jar`: The extension name is different from the service name, so it should fail after having accepted installation. - `craptube.jar`: It now has even more `CRAP`.  Please keep this version installed and add subscriptions and remote playlists from various services. When I post the next version, it will have a different DB scheme, so the migration for that should be tested.",stalled. - `craptube-name.jar`: The extension,0,0.1127819548872181
"my hardware to bigger numbers but i don't need it.  After 24h, when some of the documents with the same ID comes in, the performance drops miserably to 500 documents per second, even less, then the CPU skyrockets and iowait sucks most of my resources. I tried changing the batch size, the threads, but no solution found.  I wanted to underline that you don't need duplicate documents in the same bulk request to trigger this ugly performance issue. You just need to update a few existing documents per request ","I don't need it. After 24h, when some of the documents with the",0,0.1215686274509804
"where?  This is the best I could find...   * no official helpdocs for endusers whatsoever == http  * github-based quasi-official helpdocs give no detailed instructions whatsoever == http  * 2017 tacitly-official comment by moxie0 says to try googling(tm) to learn how == http   * 2018 unofficial-comment with SOMEWHAT detailed instructions == http  (""open a command prompt"" is not really aimed at the everyday enduser from the whatsapp crowd however!)  * 2014 unofficial-commentTwo with significantly different",where?  This is the best I could find...  * no official helpdocs,0,0.12549019607843137
githubusercontent.com/5811393/41500883-7e68a2b2-719a-11e8-8943-5a31da6246a1.png) ...Then I ractivated the realtime protection. And it's allright. Damn Windows !,githubusercontent.com/5811393/41500883-719a2,0,0.275
uments in a log-like file for ECS.  Hope this rambling make sense. Thank you for the valuable input!,This is in a log-like file for ECS. Hope this rambling make,0,0.52
I'm afraid I didn't understand your comment.,I'm afraid I didn't understand your comment.,0,1.0
Closing.  The PR contains changes from multiple branches...I hate Git.,Closing. The PR contains changes from multiple branches...I hate Git.,0,0.9857142857142858
"t behavior from ""hey everyone that person you have stored in your addressbook for some possibly creepy reason is now on Signal! Creep them out!"" to that stalker having to [look up on WikiHow](https://www.wikihow.com/Know-if-a-Contact-Is-Using-Signal) a way to spy.  I cannot find a single open one that speaks to this at all, though i do understand that ending the functional directory of Signal users is a goal: http (though that's so focused on the technical, hiding stuff from your own phone, that i'm still","t behavior from ""hey everyone that person you have stored in your addressbook for some",0,0.1686274509803921
I don't think we're ever going to get more info.,I don't think we're ever going to get more info.,0,1.0
"Damn paper trail. Sometimes, when I'm alone in the dark, I like to break all the things.","I like to leave a paper trail. Sometimes, when I'm alone in the dark",0,0.44318181818181823
"tty common nowadays). Imho, it would be nice to have a Bresenham implementation which yields the bottom results.",It would be nice to have a Bresenham implementation which yields the bottom results,0,0.7410714285714286
relevant reading material:  http http  looks like there is a fix but pretty ugly,relevant reading material: http http looks like there is a fix but pretty ugly,0,0.975
the less maven the better,The less maven the better,0,0.96
"I disagree on anything looking outdated in v 5.6*. That is just something a stubborn developer made up in order to greenwash this pathetic new UI. Nobody with a brain actually using email would prefer this garbage over the older look. It's not opinion, it's fact. It's over for k9. Someone should fork the older code, insert the back-end upgrades and release a truely new version under a new name, not this disaster of a 'redesign'.",I disagree on anything looking outdated in v 5.6*. That is just something a,0,0.17361111111111116
"> NACK lack of code formatting.  Hi, fixed and squashed.","> NACK lack of code formatting. Hi, fixed and squashed.",0,0.9821428571428571
Yuuuup,Yuuuup,0,1.0
"@user damn, you right.. the first command that works is  ``` colttt@graylog ~ # echo '{""version"": ""1.1"",""host"":""example.org"",""short_message"":""A short message that helps you identify what is going on"",""full_message"":""Backtrace here\n\nmore stuff"",""level"":1,""_user_id"":9001,""_some_info"":""foo"",""_some_env_var"":""bar""}' | nc -w 1 -u syslog.example.de 12200  ```","@user_id:9001, you right.. the first command that works is",0,0.1348314606741573
"@user the stars are just decoration. I thought it would look better. Tho i don't have an Idea how to style up the header.  However I thought about letting the user decide what he wants yo see on his main page, so instead of just letting him see a kiosk we could add something to the settings so he can set a channel/the channel view/feed/blank page/ or kiosk.  Now i would like to list the available kiosks in the dropdownmenue. (Not as separate fragments).  Also as headline of the main page id like to put th",@user the stars are just decoration. I thought it would look better. Tho,0,0.14117647058823535
"e row being animated. That wasn't very smooth and also had some strange issues like the list position going whack after opening the keyboard.  However, I found that setting a delay on the animation startup makes it somewhat less jarring. That way the empty space will first appear and the animation will come in a little later, instead of both things happening at once. It's not perfect but it's the best I can come up with.  Since the amount of ""bounce"" in the `OvershootInterpolator` can be configured, I tri",e row being animated. That wasn't very smooth and also had some strange issues like,0,0.16274509803921566
"imply a burst of 500 MB transfer in 10s for instance if you set 1 MB of limit (so 500s).  What kind of example do you have ? Moreover, what version do you use (since this traffic was improve/corrected in the last versions 3.9, 4.0 4.1, and Master) ?",imply a burst of 500 MB transfer in 10s for instance if you set 1,0,0.26104417670682734
The next days it will be released. I want to get the windows code signing in as well... still waiting for the damn cert....,The next days it will be released. I want to get the windows code signing in,0,0.6178861788617886
"ion. Alternatively, idea.no.launcher=true can be set in the idea.properties file which can be accessed under Help > Edit Custom Properties (this will require a restart of IDEA). For IDEA 2017.3 and above, in addition to the JVM option, you will need to go to Run->Edit Configurations->...->Defaults->JUnit and verify that the Shorten command line setting is set to user-local default: none. You may also need to remove ant-javafx.jar from your classpath if that is reported as a source of jar hell.  To run an ","ion. Alternatively, idea.no.launcher=true can be set in the",0,0.11568627450980395
"Has there been any progress on this? I'm now in the midst of my third ES implementation and this is the third time this issue came up :)  Is http related? It bears the name ""Changes API"" but seems to resemble something else (notifications for outside ES?).  Currently I'm planning to have an alias for writing pointing to multiple indices but doing the writes manually by: - read the aliases to figure out to which indices it points - write to all these indices in a loop  The nasty things here are: - every ti",Has there been any progress on this? I'm now in the midst of my third,0,0.1352941176470588
"> I tried the same thing when VPN is off, still same thing. Tested it without vpn again and this time with google play, and sure than it does work. So this is an google play issie, signal is forcing users to use google play services, like they also do with the standalone apk that lacks updates. So now i have 2 options, one is to spread my butcheeks and install google gay services, and the other one is to have a broken app. Did China or Russie take signal over that we are not aware off? Because the only op","> I tried the same thing when VPN is off, still same thing. Tested",0,0.12941176470588234
"Those self-closing tags are the result of the smart-ass ""copy HTML"" function of the browser, they are actually closed as they should (i.e. <span></span>), will edit it later when I can (the whole document is far too large to be a viable option).  I know the xpath is horrendous, but it can't any other way (trust me on that), neither is that the point here. The app is not in my control, and most of the html is dynamically generated.","Those self-closing tags are the result of the smart-copy HTML"" function",0,0.16359447004608296
hahahaha  awesome.,hahahaha  awesome,0,0.9444444444444444
"Ugh, in sanity testing I've discovered that `/etc/suse-release` is only a thing on ""real"" SuSE (not openSuSE). PR on hold until I figure out the correct test.","Ugh, in sanity testing I've discovered that `/etc/suse-",0,0.3481012658227848
"I used BTC for the trade fees.  Where do I see my onion address? I see only ""makers onion address"" during the process. Isn't asking for this public-ally compromising peoples anonymity? I mean I throw mine away by enabling all those insecure network settings so I can as well post that, went back to default network settings but it bothers me how you claim Bisq for such great privacy and they you ask people for all their logs and info in a fucking M$ owned public platform. So people who want to help fix your",I used BTC for the trade fees. Where do I see my onion address? I,0,0.12745098039215685
@user yes we can close this one in favor of http sorry @user I screwed up,@user yes we can close this one in favor of http sorry @user I messed,0,0.8904109589041096
"@user This still regularly happens for me, so I would argue this needs to be reopened. It's the worst bug I've experienced with Signal by far because it makes some conversations near unreadable on mobile and screws up the backup.","@user This still regularly happens for me, so I would argue this needs to be",0,0.3318777292576419
asble signatures. How is that a bad user experience?  > Reply to this email directly or view it on GitHub: > http,asble signatures. How is that a bad user experience?  > Reply to this,0,0.6106194690265487
Yes.  I have an uncommitted change on my laptop that removes analyzer.Type type.Type.  ColumnType is a different beast and will take a lot more work to remove.,Yes. I have an uncommitted change on my laptop that removes analyzer.Type,0,0.4591194968553459
5 22:24   plugin-descriptor.properties      14573  09-07-15 22:27   repository-hdfs-3.0.0-SNAPSHOT.jar     592008  06-18-15 17:27   http     282793  06-18-15 17:27   http      62050  01-19-15 09:24   commons-logging-1.1.3.jar   --------                   -------     953868                   5 files ```,5 22:24  plugin-descriptor.properties    14573,0,0.15181518151815176
I'm so sorry -> I'm a complete dumbass.  We distribute the org.jkiss.dbeaver.core.prefs from a central server to all clients and at some point someone added statement.invalidate.before.execute=true which causes disconnects on every execution.  I seriously didn't know such an option exists.,I'm so sorry I didn't know such an option exists. We distribute the org,0,0.18620689655172418
so bad,so bad,0,1.0
It would be so good to have a usable documentation AND REPL somewhere. Writing painless scripts is like pain in the ass now. :(,It would be so good to have a usable documentation AND REPL somewhere. Writing painless,0,0.6850393700787402
Fuck you for being so fucking dismissive and useless,You are being so dismissive and useless,0,0.6730769230769231
"> What about using .openapi-generator-ignore to have complete control on what files to skip during code generation?  I think it would not work. Documentation says :  > create a file named .openapi-generator-ignore in the root of the output directory with the contents  When doing a **sbt clean**, the output directory of openapi is deleted, meaning my .openapi-generator-ignore would also be deleted. In addition of that, adding a target / generated / build directory in VCS would be a bad practice, and I don'",> What about using.openapi-generator-ignore to have complete control on,0,0.13921568627450975
That's a bug in your code,That's a bug in your code,0,1.0
"Come on, Travis, you can do it!","Come on Travis, you can do it!",0,0.967741935483871
Seems to have worked now several times. Hopefully I didn't crap on rocket's performance by my code too badly.,Seems to have worked now several times. Hopefully I didn't mess up rocket's,0,0.6330275229357798
Creating a connection just to be able to import a CSV as data into a database is fraught with problems and is frankly a total pain in the butt.  No other DB or CRM management tool in the world requires that much work to simply load a CSV.  This is a deal breaker feature for me because the process of creating a connection for flat files always fails and is not portable (have to do it everywhere I use the tool and it's unique to the machine since the source is local).,Creating a connection just to be able to import a CSV as data into a database is,0,0.17021276595744683
"``` Crap! Using the same client and the demo.bigbluebutton server, the bug is not reproducable :( So it must be something with an Ubuntu Client and an Ubuntu server ```  Reported by `derarnold@web.de` on 2011-01-14 11:46:30",``` Crap,0,0.0358744394618834
ooh nevermind then I didn't see your latest reply!!!,ooh nevermind then I didn't see your latest reply!!!,0,1.0
I hate the idea of adding another UI setting. But having the option to turn off support for stars entirely doesn't sound too bad.,I hate the idea of adding another UI setting. But having the option to turn off,0,0.6124031007751938
"Damn the build is failing because the material dialogs author @user has deleted the release from bintray...  This isn't the first time it's happened either, we should probably consider trying to get rid of this dependency.  It looks like we'll need to update the library version and add jitpack as a repository: http  Updating the library version probably requires us to update to SDK 23 though, which will also break the Travis CI build",I think the build is failing because the material dialogs author @user has deleted the,0,0.17620137299771166
"Mail classes are likely to be loaded at server level and thus will have only one default mapping.  Alternatively, we can allow developers to configure a set of mime type mappings in their config files which Spring will use on a message-by-message basis and thus will not impact on anything that J2EE servers do to the overall JavaMail framework. Using this mechanism I can merge the defaults into the per-message context, so anyone who wants to use a mime.types file can and anyone who doesn't will simply get ",Mail classes are likely to be loaded at server level and thus will have only one default,0,0.1725490196078432
"Thank god, i thought i was going crazy. Happens to me when i use navigation and my Bluetooth headset on the motorbike.","Thank god, i thought i was going crazy",0,0.3220338983050848
"@user It's bad news for us, unfortunately, but we'll try to somehow avoid the jar hell problem, thank you for your effort and time!","@user It's bad news for us, unfortunately, but we'll try to somehow",0,0.5114503816793894
ch.java:166) [elasticsearch-7.16.1.jar:7.16.1] at org.elasticsearch.bootstrap.Elasticsearch.execute(Elasticsearch.java:157) [elasticsearch-7.16.1.jar:7.16.1] at org.elasticsearch.cli.EnvironmentAwareCommand.execute(EnvironmentAwareCommand.java:77) [elasticsearch-7.16.1.jar:7.16.1] ,ch.java:166) [elasticsearch-7.16.1.,0,0.12411347517730498
"@user I didnt know you trying to use ""documents"" to protect you from the world. I would'nt pull again.  Anyway you can't protect yourself using this technique sign - and enter. I can prove I made this code having it before the code come to the repository, and since it get there without my sign it be equals staling code. So, sign or no sign - always possible to make you/google guilty and violating copyright slavery... Just make it simple, opensource and fun. BTW i'm not going to sue anyway. Just show you h","@user I didnt know you were trying to use ""documents"" to protect you",0,0.1215686274509804
"re always subject of misuse, and even if the illegal copies are just online for a few days or weeks, they might generate enough revenue for the publisher, hence rendering any takedown pretty useless.  Here's a few options I thought about:    - We could add a constraint to the license forbidding any publishing on Google Play (and those Asian and Arabic  app stores) without consent of Team NewPipe's administrative board. This would be a measure that you could enforce legally, especially on Google Play (beca","re always subject of misuse, and even if the illegal copies are just online for a",0,0.1588235294117647
"The uncontrolled notification is a horrible mis-feature. I don't care so much how it's done (I found it quickly in the FAQ) as the fact that it's done at all and I can't turn it off.   What if I don't want my contacts to know I am using Signal?  Scenario: I work in some high-flying place with a lot of paranoia, say the US White House. Anyone using Signal is immediately under suspicion of being a ""leaker"". Most of the people I work with are in each others' address books. When I install Signal, it alerts my",The uncontrolled notification is a mis-feature. I don't care so much how it,0,0.1470588235294118
"""+1"" doesn't bring anything to the discussion, it's spam. When you post here, emails go out to many people. If everyone posted ""me too"", it would be chaos.  This project is OSS, if you really want something, it's best to show it by just implementing it.  On Mon, Feb 2, 2015 at 11:13 PM, vaxquis notifications@github.com wrote:  > hell, I would just cast my vote on this... _if there was a voting system > on GitHub_... >  > isaacs/github#9 http > isaacs/github#209 http >  > http >  > etc. ; that's why I stil","""+1"" doesn't bring anything to the discussion, it's spam. When",0,0.1215686274509804
"One **ugly** solution I thought is to create a new class and copy the content of `WebMvcTypeExcludeFilter` into it, and then use this insteadly.",One solution I thought is to create a new class and copy the content of `Web,0,0.5277777777777778
