uncivil_comment,civil_comment,,
"Is this still used anywhere?
 
 (later)
 
 Looks like still used in nova.tests.unit.test_service, so I guess we can't remove it. Damn.","Is this still utilized anywhere?

(later)

It appears that it is still used in nova.tests.unit.test_service, so I suppose we cannot remove it. Disappointing.",,
"you can. some people prefer reinterpret_cast because it shouts ""danger! crappy type-unsafe C API here!"". others prefer static_cast because it's the weakest cast that will still work. i'll +2 either (but tend to use reinterpret_cast personally; i've never seen anyone make the mistakes that static_cast would prevent in this specific circumstance).",You can use either. Some people prefer reinterpret_cast because it emphasizes the risks associated with type-unsafe C API. Others opt for static_cast because it provides the minimum level of casting required. I would approve either option (although I personally lean towards reinterpret_cast,,
remove the tabs please - spaces only - the change makes this review a bitch to read and doesn't match the existing formatting.,Please replace the tabs with spaces only. The change has made this review difficult to read and doesn't align with the existing formatting.,,
"Damn, forgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with ToT now I guess.","Oh no, I forgot to delete this after the code changed during the review... Well, it's better to keep it here than to deviate from the Tip of Tree (ToT) and introduce inconsistencies, I suppose.",,
Damn! Thought I caught all those! Thanks.,Oh no! I thought I caught all those.Thank you for pointing it out.,,
"rather than creating this useless structure, just pass the size in the kmem_cache_create in the _probe function ?

but yeh that's not important, a dirty patch should be dirty....","Instead of creating this redundant structure, why not pass the size directly in the kmem_cache_create function within the _probe function?

However, I understand that it's not crucial. A quick and dirty patch should suffice...",,
Crap. Sorry about that. Done.,Apologies for the mistake. It has been rectified.,,
Damn grammar :-P,"Oh, grammar can be tricky. :-P",,
How the heck did that get in there? Done....,How did that manage to get in there? It has been resolved now.,,
"might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a ""go do this"" message when the window is 1s sucks)","It might be advisable to introduce a pause before the reboot, depending on how quickly it cycles. Receiving a ""go do this"" message when the window is only 1 second can be inconvenient.",,
This'll crap out if the search fails,This will fail if the search doesn't return any results.,,
"It doesn't relate to your patch, but please, remove this dots. It sucks and unreadable! Also, If this module will be moved in future, everything will break.
 I prefer to use this simple code:
 
  import rally
  lookup_dirs = [templates_dir, os.path.dirname(rally)]","This is unrelated to your patch, but please remove these dots. They make the code unreadable and can cause issues if this module is moved in the future. I suggest using this simpler code instead:

import rally
lookup_dirs = [templates_dir, os.path.dirname(rally)]",,
"Agree with Alexander, here is where separate validators suck - you may easily not notice the same work is done twice.",I agree with Alexander. Separate validators can be problematic as it's easy to overlook duplicating the same work.,,
"Does this mean that if the header is corrupt, we're screwed?","Does this mean that if the header is corrupt, we'll encounter significant issues?",,
"nit: Looks ugly. I like this style, like a = b = f(), but not in this particular case. Decompose it please.",Nitpick: The current style isn't too aesthetically pleasing. A different approach might be to decompose it.,,
"These function names - specifically the ""stub1,stub2"" are ugly.","These function names, particularly ""stub1, stub2,"" are not very descriptive.",,
"The optimizer should usually be able to make this not suck, but thread.name.assign() is more direct.","Typically, the optimizer should handle this efficiently, but using thread.name.assign() is more straightforward.",,
"hmmmm...that is a good reason to keep mountpoint around. Which kind of sucks. Also, mountpoint is optional from Nova's standpoint, so we probably shouldn't just raise and fail, unless it's a multi-attach to the same instance (the knucklehead case), which means more checks for that case.
 I vote we just dis-allow that...","Well, that's a good reason to retain mountpoint. Unfortunately, it's not ideal. Additionally, from Nova's perspective, mountpoint is optional, so we shouldn't raise an error unless it's a multi-attach to the same instance (an exceptional case), which would require additional checks. I suggest disallowing that scenario altogether.",,
"Wtf why did you change "" to ' when we are changing everywhere ' to ""","Why did you change "" to ' when we were already changing ' to "" everywhere?",,
"I think it would be nice if we have more than one choice there, like
 
 if [[ ""$users_agree"" == ""y"" ]] || [[ ""$users_agree"" == ""Y"" ]] || [[ ""$users_agree"" == ""yes"" ]];
 
 I personally hate this situations when I press 'y' and application tell me 'wrong choice, man, bye-bye. In next time you should write full ""yes"", you moron'.","It would be better to provide more than one choice, such as:


if [[ ""$users_agree"" == ""y"" ]] || [[ ""$users_agree"" == ""Y"" ]] || [[ ""$users_agree"" == ""yes"" ]];
Personally, I dislike situations where I press 'y' and the application responds with 'wrong choice, man, bye-bye. Next time, it would be appreciate if you wrote write ""yes"" in full.",,
actually C enums don't really check IIRC and never have. You can assign a bogus value. They're not that useful. I'm happy to get rid of this crap however.,"Actually, C enums don't perform extensive checks, as far as I recall. You can assign an invalid value to them. They aren't very useful. However, I'm happy to get rid of this unnecessary code.",,
"OK, just seems ugly to me is all. If you use mock you don't have to worry about mox or stubs. I'll already grant that some think that using mock is ugly too...","Okay, it's just my personal opinion that it looks unattractive. If you use mock, you won't have to worry about mox or stubs. I acknowledge that some people find using mock equally unappealing...",,
"No, indent(1) is dumb. Fixed.","No, indent(1) is not a good choice. It has been fixed.",,
!!!!! This is an ugly reference back to the agent loop. Can we get rid of it? It's the only one...,"This reference back to the agent loop is quite displeasing, can we remove it? it seems to be the last reference left.",,
Are we not going to assume error 401 or anything (that I got bitched about with the amphora API proposal still in the review pipeline)?,Shouldn't we consider error 401 or any other potential errors? (This was raised in relation to the amphora API proposal still under review.),,
"darn. you right. :)
 
 peer programming works! or sileht programming works.","Oops, you're right. :)

Pair programming works! Or in this case, ""sileht programming"" works.",,
"Ok, fair enough.
 
 Just seems like it could be used outside openstack (and if later we have to rename it so that it's more obvious it can be used outside, that sorta sucks to have to go through that process).","Okay, fair enough.

It just seems like it could be utilized outside of OpenStack. If we later need to rename it to make it more obvious that it can be used externally, it would be unfortunate to go through that process.",,
I got rid of all the LDAP specific nonsense,I have removed all the LDAP-specific complexities from the code.,,
"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.","You're right, it appeared awkward when I approached it differently, but I believe it's the correct approach. I'll fix it accordingly.",,
"I disagree. In this instance it is an instance that we have partially created, and that the user has no knowledge of its existence. We should not leave half created turds lying around. However, you have drawn attention to that fact that we are eating an exception, which we should not be doing.","I have a different perspective on this matter. In this particular case, we're dealing with a partially created instance that the user is unaware of. Leaving incomplete artifacts behind is not desirable. However, you've highlighted the fact that we're suppressing an exception, which we should avoid.",,
"scope_logger.cc doesn't exist in libshill-net users, like apmanager.
 
 Do we move it under common/ and make apmanager depend on a separate shared library, just for that tiny shill-specific piece of code?
 
 Do we move it under net/ where it doesn't really belong?
 
 Do we tell library callers to implement the ScopeLogger class just so that libshill-net links? That's kind of an ugly interface for a library; at least for C-based shared libraries it is generally nicer to ask users to register a callback than for the .so file to try to link against some of the main executable's symbols.","The file scope_logger.cc doesn't exist in libshill-net users like apmanager.
Should we consider moving it under common/ and making apmanager dependent on a separate shared library just for that small shill-specific code?

Should we relocate it under net/ even though it doesn't truly belong there?

Should we instruct library callers to implement the ScopeLogger class just for the sake of linking libshill-net? It's not an elegant interface for a library; typically, for C-based shared libraries, it's preferable to ask users to register a callback rather than having the .so file link against symbols from the main executable.
64.",,
damn.. I missed that one. Thanks,"Oh, I missed that one. Thanks for catching it.",,
"Oh, yeah, what a crap.  Maybe use this cleanup commit to finally get rid of that odd --language handling for good.","Oh, yes, what a mistake. Perhaps we can utilize this cleanup commit as an opportunity to finally eliminate the odd handling of --language for good.",,
"Yes, but I guess this is rabbit issue only, due to the fact that the reply queue have been historically created with auto_delete=True.
 
 Another rabbitmq reported issue in the past was that a HA rabbitmq cluster that failover can in certain circumstance report that the queue doesn't exists just after the failover when It exists in reality. That another reason of why we do this crap.","Yes, but I believe this is a specific issue with RabbitMQ due to the historical creation of the reply queue with auto_delete=True.
Another reported RabbitMQ issue in the past was that during failover in a highly available RabbitMQ cluster, the queue can sometimes be reported as non-existent immediately after failover, even though it actually exists. That's another reason why we're dealing with this situation.
67.",,
"I don't agree here, property in python are awful, especially when you want to test such methods.","I respectfully disagree; properties in Python can be problematic, especially when testing such methods.",,
"The CBManagerState change in the new SDK is so sucky :-( We did https://chromium-review.googlesource.com/c/chromium/src/+/587510/5/device/bluetooth/bluetooth_adapter_mac.mm#43 on Mac (and see discussion on bug linked from that CL). But if this is the only place, this is fine too.","The CBManagerState change in the new SDK is quite troublesome. We did something similar on Mac (refer to the discussion on the linked bug for details). However, if this is the only occurrence, it's acceptable too.",,
bouh bouh shame,"My apologies, that was a mistake.",,
"Damn, someday I'll learn how to spell, lol.","Oops, someday I'll learn how to spell, haha.",,
shit :(,Apologies for the frustration.,,
"this is ugly, you should probably split it on two lines so it lines up. (or remove channel so it is shorter) :)
 
  'nfs=nova.virt.libvirt.volume_nfs.NfsVolumeDriver',
  'fibrechan=nova.virt.libvirt.volume.'
  'LibvirtFibreChannelVolumeDriver',","This is not visually appealing; it would be better to split it into two lines so that it aligns (or remove ""channel"" to make it shorter):

'nfs=nova.virt.libvirt.volume_nfs.NfsVolumeDriver',
'fibrechan=nova.virt.libvirt.volume.'
'LibvirtFibreChannelVolumeDriver'",,
You are an evil :O!,You're quite mischievous! :O,,
Damn abbreviations :-P,"Darn abbreviations, right? :P",,
"honestly, i might even change it to 60min.  timeouts are supposed to catch the ""this is totally screwed up, let's abort"" not ""we're close to normal, but let's throw up everywhere anyways"".","Honestly, I might even change it to 60 minutes. Timeouts are meant to capture situations where everything is terribly wrong and requires aborting, rather than triggering errors when things are nearly normal.",,
"ah, thats nice, encoding stuff already crap","Ah, that's unfortunate, encoding issues are always troublesome.",,
WTF,What on earth is happening here?!,,
"Oh, shit, you're right. Is there a less error-prone way to do this than scattering calls to ClearReportsPending throughout the function?","Oh, goodness, you're right. Is there a more reliable way to handle this instead of scattering calls to ClearReportsPending throughout the function?",,
Forget to say. Maybe you have seen suck behaviour in real-life? Could you please provide an example?,"I forgot to mention, have you encountered such problematic behavior in real-life scenarios? If possible, could you provide an example?",,
Totally clumsy! I dislike it immensely! I think we should make a fileglobbing feature.,"This approach is rather uncoordinated, i find it distasteful.Perhaps we should look into implementing a file",,
I shouldn't need to load an L3 agent to test the DB logic behavior! That's nonsense.,It would be more efficient to test the DB logic behavior without loading an L3 agent.,,
just remove this ugly space from the end of the line please,Could you please remove the extra space at the end of the line?,,
Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,I encountered an issue with libcros finding <glib-object.h>. I'm currently working on resolving it.,,
"This is what the query looks like:
 
 SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
 FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
 WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)
 
 Maybe we want to disable eager loading so it doesn't pull in all that crap we don't need? We really only want the port and security groups?","Here is the query structure for reference. 
SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
 FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
 WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)

Perhaps we should consider disabling eager loading to retrieve only the necessary information, such as ports and security groups.",,
"stupid IDE, good catch","The IDE made an error, but I appreciate your keen observation.",,
"OMG, this alias is terrible!",This alias is not very descriptive.,,
this is the only new bit. stupid git.,The following code snippet is the only new addition. Git can be frustrating sometimes.,,
"Normally I'm anal about avoiding duplication, but there is subtle enough differences between each that it's not really worth it; same goes for the prefix bit imo.","While I typically strive to avoid duplication, in this case, the subtle differences between each instance don't justify the effort. The same applies to the prefix bit, in my opinion.",,
Ah damn I misread the bug -_-,"Oops, I misunderstood the bug. My apologies.",,
"Crap, I thought I had that in there.","Ah, I thought I included that. My mistake.",,
"I'll be damned. I just assumed that weak_ptr needs a full definition of ServiceProxy to generate the default destructor of WeaveClient. But I actually tried and it works just fine (I guess because refcount is not really stored in the controlled class but in a separate storage). Anyway, removed the destructor altogether.","Surprisingly, weak_ptr doesn't require a full definition of ServiceProxy to generate the default destructor of WeaveClient. It seems the refcount is stored separately. Consequently, I removed the destructor altogether.",,
"Yea, it is a bit messy - and particularly when considering arm32-style paired single registers.  I think a portable sameness test would be something like:

  bool IsSameReg(RegStorage reg1, RegStorage reg2) {
    RegisterInfo* info1 = GetRegInfo(reg1);
    RegisterInfo* info2 = GetRegInfo(reg2);
    return  (info1->Master() == info2->Master()) &&
            ((info1->StorageMask() & info2->StorageMask()) != 0);
  }

Yuck.","The code appears messy, especially when considering arm32-style paired single registers. A more portable way to check for sameness could be:

bool IsSameReg(RegStorage reg1, RegStorage reg2) {
  RegisterInfo* info1 = GetRegInfo(reg1);
  RegisterInfo* info2 = GetRegInfo(reg2);
  return (info1->Master() == info2->Master()) &&
         ((info1->StorageMask() & info2->StorageMask()) != 0);
}
It's not ideal, though.",,
I would have kept the comments out of the localrc generated but I am anally retentive.,"Personally, I prefer to exclude comments from the generated localrc file, as I tend to be meticulous.",,
"because bash sucks (and I suck at writing bash also), it doesn't like the empty array when you run with -u.","Bash has its limitations, and I'm not particularly skilled at writing bash scripts. It doesn't handle empty arrays well when used with the -u flag.",,
I really hate the 'i' as it smells like hungarian notation. I'd like something more self documenting. How about nocase? __startswith_nocase=Y,I dislike using 'i' as it resembles Hungarian notation. How about using a more self-explanatory alternative like 'nocase'? For example: __startswith_nocase=Y,,
"I know this is incredibly anal, but to you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit so there is no chance that someone will be able to get a half set value.","I realize it may be excessive, but would you like to make this operation atomic? It should already be atomic by default, but specifying it explicitly would eliminate any possibility of a partially set value.",,
"Crap, this is an artifact of a previous revision. It's simply the last time a change was made to Tuskar's cloud.","Apologies, that information is outdated from a previous revision. It represents the state of Tuskar's cloud at that time.",,
"Yes, doc strings in unit tests suck because they cause the name of the failing test to be hidden.","Unfortunately, doc strings in unit tests can obscure the name of the failing test.",,
"Yes, unfortunately this does add some fragility here. Though you are wrong that it is inserting namespace data. And of course if the compiler does add that, it would make for a 100% failure rate of the test (fun fact: __func__ apparently at least on the Android build system is resolved to __PRETTY_FUNCTION__ which does add a lot of crap).

As per the commend on the hardcoded strings though, this way we are ensuring we have to correct mapping and don't require constants for everything that is redundant and makes it harder to add tests.

Again, this is a test - not another abstraction layer on top of a HAL on top of an API...","Although there is a risk of fragility here, you're mistaken about the insertion of namespace data. In any case, by using hardcoded strings, we ensure the correct mapping and avoid the need for redundant constants that complicate the addition of tests.

Remember, this is a test and not an additional abstraction layer on top of a HAL and API.",,
"Damn you're right, should be

static constexpr uint32_t kBuiltinPrefix = (uint32_t('g') << 16) + (uint32_t('l') << 8) + uint32_t('_') ;
uint32_t prefix = *reinterpret_cast<const uint32_t*>(name.c_str());
return name.size() >= 4 && (prefix >> 8) == kBuiltinPrefix;","You're absolutely right. It should be:

static constexpr uint32_t kBuiltinPrefix = (uint32_t('g') << 16) + (uint32_t('l') << 8) + uint32_t('_');
uint32_t prefix = *reinterpret_cast<const uint32_t*>(name.c_str());
return name.size() >= 4 && (prefix >> 8) == kBuiltinPrefix;",,
"You need to either make this a get('count', 1) or add a validator to ensure that the count key exists. KeyErrors are ugly.","It would be beneficial to either use get('count', 1) or include a validator to ensure the existence of the count key. Handling KeyErrors can be messy.",,
"Those bastards! But my point is, there should be an uppercase L in 'liberty'.","It's important to note that there should be an uppercase 'L' in 'liberty', even though those changes were made by someone else.",,
Oh god damn it.,"Oh, dear.",,
hmm.. that's actually a lot prettier. darn.,Hmm... that's actually much more aesthetically pleasing. Well done!,,
"I really hate those. Not sure what the officiel OpenStack policy is, though.","Personally, I'm not fond of those. However, I'm unsure about the official OpenStack policy on this matter.",,
"(Yuck, I think min and max would actually have to query rd.min() and rd.max()).","(It's not ideal, but it seems like querying rd.min() and rd.max() would be necessary for min and max).",,
"better pass by value,

  bool bIsTextCat

(or just ""bool isTextCat"" to avoid the ugly ""misunderstood Hungarian"" prefix)","It would be better to pass by value using bool bIsTextCat or simply bool isTextCat to avoid the unappealing ""misunderstood Hungarian"" prefix.",,
ya. darn. i thought i snagged all these.,"Yes, unfortunately, I thought I had caught all of these errors.",,
"From IRC:
 
  <mordred> hell, I think run_tests.sh is an abomination anyway - I can't imagine having it call out to a project-specific thing will be any worse if it gets us a bulk of things to be oslo
 
 so I think it's worth giving the tools/run_tests_common.sh idea a try","From IRC:

<mordred> Honestly, I find run_tests.sh to be quite problematic. However, if having it call out to a project-specific function helps streamline things for Oslo, it's worth exploring the idea of tools/run_tests_common.sh.",,
